 ChipID Half   Layer0   Layer1  Layer2   Layer3  Layer4   Layer5  Layer6   Layer7   Layer8  Pseaudo_Eff
    344   h0 0.631579 0.842105   0.665 0.761905       1 0.668182       1 0.846154 0.785714     0.119709
    345   h0 0.666667 0.888889   0.700 0.800000       1 0.700000       1 0.846154 0.785714     0.154439
    346   h0 0.666667 0.888889   0.700 0.800000       1 0.700000       1 0.846154 0.785714     0.154439
    347   h0 0.842105 0.842105   0.950 0.666667       1 0.859091       1 0.769231 0.714286     0.211999
    348   h0 0.888889 0.888889   1.000 0.700000       1 0.900000       1 0.769231 0.714286     0.273504
    349   h0 0.888889 0.888889   1.000 0.700000       1 0.900000       1 0.769231 0.783410     0.299972
    350   h0 0.631579 0.947368   0.665 0.666667       1 0.727273       1 0.769231 0.785714     0.116599
    351   h0 0.666667 1.000000   0.700 0.700000       1 0.800000       1 0.769231 0.785714     0.157949
    352   h0 0.666667 1.000000   0.700 0.700000       1 0.800000       1 0.769231 0.785714     0.157949
    353   h0 0.947368 0.631579   0.760 0.952381       1 0.645455       1 0.923077 0.857143     0.221171
    354   h0 1.000000 0.666667   0.800 1.000000       1 0.700000       1 0.923077 0.785714     0.270769
    355   h0 1.000000 0.666667   0.800 1.000000       1 0.700000       1 0.923077 0.785714     0.270769
    392   h0 0.842105 0.631579   0.665 0.952381       1 0.954545       1 0.769231 0.857143     0.211999
    393   h0 0.888889 0.666667   0.700 1.000000       1 1.000000       1 0.769231 0.857143     0.273504
    394   h0 0.888889 0.666667   0.700 1.000000       1 1.000000       1 0.769231 0.790323     0.252183
    395   h0 0.888889 0.666667   0.700 1.000000       1 1.000000       1 0.675824 0.785714     0.220269
    396   h0 0.631579 0.947368   0.855 0.666667       1 0.668182       1 0.769231 0.785714     0.137733
    397   h0 0.666667 1.000000   0.900 0.700000       1 0.700000       1 0.769231 0.785714     0.177692
    398   h0 0.666667 1.000000   0.900 0.700000       1 0.700000       1 0.769231 0.785714     0.177692
    399   h0 0.666667 1.000000   0.900 0.700000       1 0.700000       1 0.769231 0.785714     0.177692
    400   h0 0.789474 0.614035   0.850 0.614286       1 0.654545       1 0.769231 0.721198     0.091912
    401   h0 1.000000 0.777778   1.000 0.700000       1 0.700000       1 0.769231 0.785714     0.230342
    402   h0 1.000000 0.777778   1.000 0.700000       1 0.700000       1 0.769231 0.785714     0.230342
    403   h0 1.000000 0.777778   1.000 0.676190       1 0.700000       1 0.769231 0.769585     0.217940
    404   h0 0.736842 0.666667   0.700 0.700000       1 0.700000       1 0.923077 0.767281     0.119336
    405   h0 0.777778 0.666667   0.700 0.700000       1 0.700000       1 0.923077 0.785714     0.128991
    406   h0 0.777778 0.666667   0.700 0.700000       1 0.700000       1 0.923077 0.785714     0.128991
    407   h0 0.777778 0.666667   0.700 0.700000       1 0.700000       1 0.923077 0.785714     0.128991
    408   h0 0.736842 0.947368   0.700 1.000000       1 1.000000       1 1.000000 0.767281     0.374926
    409   h0 0.777778 1.000000   0.700 1.000000       1 1.000000       1 1.000000 0.785714     0.427778
    410   h0 0.777778 1.000000   0.700 1.000000       1 1.000000       1 1.000000 0.785714     0.427778
    411   h0 0.777778 1.000000   0.700 1.000000       1 1.000000       1 1.000000 0.785714     0.427778
    412   h0 0.947368 0.654971   1.000 0.700000       1 0.700000       1 0.923077 0.767281     0.215342
    413   h0 1.000000 0.666667   1.000 0.700000       1 0.700000       1 0.923077 0.785714     0.236923
    414   h0 1.000000 0.666667   1.000 0.700000       1 0.700000       1 0.923077 0.785714     0.236923
    415   h0 1.000000 0.666667   1.000 0.700000       1 0.700000       1 0.923077 0.758065     0.228586
    416   h0 0.502924 0.684211   0.610 0.647619       1 0.618182       1 0.769231 0.682028     0.044088
    417   h0 0.666667 1.000000   0.700 0.800000       1 0.700000       1 0.769231 0.785714     0.157949
    418   h0 0.666667 1.000000   0.700 0.800000       1 0.700000       1 0.769231 0.785714     0.157949
    419   h0 0.666667 1.000000   0.700 0.800000       1 0.700000       1 0.769231 0.785714     0.157949
    420   h0 0.842105 0.947368   0.665 0.857143       1 0.659091       1 0.769231 0.785714     0.181145
    421   h0 0.888889 1.000000   0.700 0.900000       1 0.700000       1 0.769231 0.785714     0.236923
    422   h0 0.888889 1.000000   0.700 0.900000       1 0.700000       1 0.769231 0.785714     0.236923
    423   h0 0.888889 1.000000   0.700 0.900000       1 0.700000       1 0.769231 0.852535     0.257072
