 ChipID Half   Layer0   Layer1  Layer2   Layer3   Layer4  Layer5   Layer6   Layer7   Layer8  Pseaudo_Eff
    344   h0 0.631579 0.842105       1 0.761905 0.954545       1 0.740741 0.846154 0.785714     0.190490
    345   h0 0.666667 0.888889       1 0.800000 1.000000       1 0.769231 0.846154 0.785714     0.242447
    346   h0 0.666667 0.888889       1 0.800000 1.000000       1 0.769231 0.846154 0.785714     0.242447
    347   h0 0.842105 0.842105       1 0.666667 0.668182       1 0.740741 0.769231 0.714286     0.128567
    348   h0 0.888889 0.888889       1 0.700000 0.700000       1 0.769231 0.769231 0.714286     0.163635
    349   h0 0.888889 0.888889       1 0.700000 0.700000       1 0.769231 0.769231 0.783410     0.179471
    350   h0 0.631579 0.947368       1 0.666667 0.954545       1 0.740741 0.769231 0.785714     0.170467
    351   h0 0.666667 1.000000       1 0.700000 1.000000       1 0.769231 0.769231 0.785714     0.216963
    352   h0 0.666667 1.000000       1 0.700000 1.000000       1 0.769231 0.769231 0.785714     0.216963
    353   h0 0.947368 0.631579       1 0.952381 0.668182       1 0.740741 0.923077 0.857143     0.223156
    354   h0 1.000000 0.666667       1 1.000000 0.700000       1 0.769231 0.923077 0.785714     0.260355
    355   h0 1.000000 0.666667       1 1.000000 0.668182       1 0.769231 0.923077 0.785714     0.248521
    392   h0 0.842105 0.631579       1 0.952381 0.668182       1 0.814815 0.769231 0.857143     0.181831
    393   h0 0.888889 0.666667       1 1.000000 0.700000       1 0.846154 0.769231 0.857143     0.231427
    394   h0 0.888889 0.666667       1 1.000000 0.700000       1 0.846154 0.769231 0.790323     0.213385
    395   h0 0.888889 0.666667       1 1.000000 0.700000       1 0.846154 0.675824 0.785714     0.186381
    396   h0 0.631579 0.947368       1 0.666667 0.954545       1 0.962963 0.769231 0.785714     0.221607
    397   h0 0.666667 1.000000       1 0.700000 1.000000       1 1.000000 0.769231 0.785714     0.282051
    398   h0 0.666667 1.000000       1 0.700000 1.000000       1 1.000000 0.769231 0.785714     0.282051
    399   h0 0.666667 1.000000       1 0.700000 1.000000       1 1.000000 0.769231 0.785714     0.282051
    400   h0 0.789474 0.614035       1 0.614286 0.954545       1 0.649573 0.769231 0.721198     0.102432
    401   h0 1.000000 0.777778       1 0.700000 1.000000       1 0.769231 0.769231 0.785714     0.253123
    402   h0 1.000000 0.777778       1 0.700000 1.000000       1 0.769231 0.769231 0.785714     0.253123
    403   h0 1.000000 0.777778       1 0.676190 1.000000       1 0.769231 0.769231 0.769585     0.239494
    404   h0 0.736842 0.666667       1 0.700000 0.700000       1 0.746439 0.923077 0.767281     0.127252
    405   h0 0.777778 0.666667       1 0.700000 0.700000       1 0.769231 0.923077 0.785714     0.141749
    406   h0 0.777778 0.666667       1 0.700000 0.700000       1 0.769231 0.923077 0.785714     0.141749
    407   h0 0.777778 0.666667       1 0.700000 0.700000       1 0.769231 0.923077 0.785714     0.141749
    408   h0 0.736842 0.947368       1 1.000000 0.700000       1 0.746439 1.000000 0.767281     0.279860
    409   h0 0.777778 1.000000       1 1.000000 0.700000       1 0.769231 1.000000 0.785714     0.329060
    410   h0 0.777778 1.000000       1 1.000000 0.700000       1 0.769231 1.000000 0.785714     0.329060
    411   h0 0.777778 1.000000       1 1.000000 0.700000       1 0.769231 1.000000 0.785714     0.329060
    412   h0 0.947368 0.654971       1 0.700000 1.000000       1 0.712251 0.923077 0.767281     0.219111
    413   h0 1.000000 0.666667       1 0.700000 1.000000       1 0.769231 0.923077 0.785714     0.260355
    414   h0 1.000000 0.666667       1 0.700000 1.000000       1 0.769231 0.923077 0.785714     0.260355
    415   h0 1.000000 0.666667       1 0.700000 1.000000       1 0.769231 0.923077 0.758065     0.251193
    416   h0 0.502924 0.684211       1 0.647619 0.677273       1 0.888889 0.769231 0.682028     0.070385
    417   h0 0.666667 1.000000       1 0.800000 0.700000       1 0.923077 0.769231 0.785714     0.208284
    418   h0 0.666667 1.000000       1 0.800000 0.700000       1 0.923077 0.769231 0.785714     0.208284
    419   h0 0.666667 1.000000       1 0.800000 0.700000       1 0.923077 0.769231 0.785714     0.208284
    420   h0 0.842105 0.947368       1 0.857143 0.668182       1 0.740741 0.769231 0.785714     0.204560
    421   h0 0.888889 1.000000       1 0.900000 0.700000       1 0.769231 0.769231 0.785714     0.260355
    422   h0 0.888889 1.000000       1 0.900000 0.700000       1 0.769231 0.769231 0.785714     0.260355
    423   h0 0.888889 1.000000       1 0.900000 0.700000       1 0.769231 0.769231 0.852535     0.282497
    424   h0 0.842105 0.631579       1 0.857143 0.668182       1 0.740741 0.769231 0.785714     0.136373
    425   h0 0.888889 0.666667       1 0.900000 0.700000       1 0.769231 0.769231 0.785714     0.173570
    426   h0 0.888889 0.666667       1 0.900000 0.700000       1 0.769231 0.769231 0.785714     0.173570
    427   h0 0.888889 0.666667       1 0.900000 0.700000       1 0.569801 0.675824 0.721198     0.103683
    448   h0 0.947368 0.631579       1 0.666667 0.668182       1 0.814815 0.769231 0.785714     0.131259
    449   h0 1.000000 0.666667       1 0.700000 0.700000       1 0.846154 0.769231 0.785714     0.167061
    450   h0 1.000000 0.666667       1 0.700000 0.700000       1 0.846154 0.769231 0.785714     0.167061
    451   h0 1.000000 0.666667       1 0.700000 0.700000       1 0.846154 0.769231 0.785714     0.167061
    452   h0 1.000000 0.666667       1 0.500000 0.700000       1 0.532764 0.384615 0.785714     0.037567
    453   h0 0.210526 0.947368       1 0.952381 0.668182       1 0.279202 0.642857 0.564516     0.012860
    454   h0 0.619883 1.000000       1 1.000000 0.700000       1 0.769231 0.769231 0.785714     0.201737
    455   h0 0.666667 1.000000       1 1.000000 0.700000       1 0.769231 0.769231 0.785714     0.216963
    456   h0 0.666667 1.000000       1 1.000000 0.700000       1 0.769231 0.769231 0.785714     0.216963
    457   h0 0.666667 1.000000       1 0.714286 0.700000       1 0.740741 0.461538 0.758065     0.086389
    458   h0 0.947368 0.736842       1 0.952381 0.668182       1 0.923077 0.670330 0.714286     0.196335
    459   h0 1.000000 0.777778       1 1.000000 0.700000       1 0.923077 0.769231 0.714286     0.276134
    460   h0 1.000000 0.777778       1 1.000000 0.700000       1 0.923077 0.769231 0.714286     0.276134
    461   h0 1.000000 0.777778       1 1.000000 0.700000       1 0.923077 0.769231 0.714286     0.276134
    462   h0 1.000000 0.777778       1 0.714286 0.700000       1 0.581197 0.461538 0.778802     0.081243
    463   h0 0.631579 0.631579       1 0.666667 0.954545       1 0.740741 0.769231 0.785714     0.113644
    464   h0 0.666667 0.666667       1 0.700000 1.000000       1 0.769231 0.769231 0.785714     0.144642
    465   h0 0.666667 0.666667       1 0.700000 1.000000       1 0.769231 0.769231 0.785714     0.144642
    466   h0 0.666667 0.666667       1 0.700000 1.000000       1 0.769231 0.769231 0.785714     0.144642
    467   h0 0.666667 0.666667       1 0.500000 1.000000       1 0.484330 0.384615 0.656682     0.027184
    812   h1 0.596491 0.947368       1 0.723810 0.954545       1 0.769231 0.846154 0.785714     0.199671
    813   h1 0.666667 1.000000       1 0.800000 1.000000       1 0.769231 0.846154 0.785714     0.272753
    814   h1 0.666667 1.000000       1 0.800000 1.000000       1 0.769231 0.846154 0.785714     0.272753
    815   h1 0.795322 0.736842       1 0.642857 0.668182       1 0.769231 0.769231 0.785714     0.117032
    816   h1 0.888889 0.777778       1 0.700000 0.700000       1 0.769231 0.769231 0.785714     0.157499
    817   h1 0.888889 0.777778       1 0.700000 0.700000       1 0.769231 0.769231 0.785714     0.157499
    818   h1 0.596491 0.947368       1 0.666667 0.954545       1 0.769231 0.769231 0.857143     0.182387
    819   h1 0.666667 1.000000       1 0.700000 1.000000       1 0.769231 0.769231 0.857143     0.236686
    820   h1 0.666667 1.000000       1 0.700000 1.000000       1 0.769231 0.769231 0.857143     0.236686
    821   h1 0.894737 0.631579       1 0.952381 0.668182       1 0.769231 0.923077 0.857143     0.218865
