 ChipID Half   Layer0   Layer1  Layer2   Layer3   Layer4  Layer5   Layer6   Layer7   Layer8  Pseaudo_Eff
    344   h0 0.631579 0.842105   0.665 0.761905 0.954545       1 0.740741 0.846154 0.785714     0.126676
    345   h0 0.666667 0.888889   0.700 0.800000 1.000000       1 0.769231 0.846154 0.785714     0.169713
    346   h0 0.666667 0.888889   0.700 0.800000 1.000000       1 0.769231 0.846154 0.785714     0.169713
    347   h0 0.842105 0.842105   0.950 0.666667 0.668182       1 0.740741 0.769231 0.714286     0.122139
    348   h0 0.888889 0.888889   1.000 0.700000 0.700000       1 0.769231 0.769231 0.714286     0.163635
    349   h0 0.888889 0.888889   1.000 0.700000 0.700000       1 0.769231 0.769231 0.783410     0.179471
    350   h0 0.631579 0.947368   0.665 0.666667 0.954545       1 0.740741 0.769231 0.785714     0.113360
    351   h0 0.666667 1.000000   0.700 0.700000 1.000000       1 0.769231 0.769231 0.785714     0.151874
    352   h0 0.666667 1.000000   0.700 0.700000 1.000000       1 0.769231 0.769231 0.785714     0.151874
    353   h0 0.947368 0.631579   0.760 0.952381 0.668182       1 0.740741 0.923077 0.857143     0.169599
    354   h0 1.000000 0.666667   0.800 1.000000 0.700000       1 0.769231 0.923077 0.785714     0.208284
    355   h0 1.000000 0.666667   0.800 1.000000 0.668182       1 0.769231 0.923077 0.785714     0.198817
    392   h0 0.842105 0.631579   0.665 0.952381 0.668182       1 0.814815 0.769231 0.857143     0.120918
    393   h0 0.888889 0.666667   0.700 1.000000 0.700000       1 0.846154 0.769231 0.857143     0.161999
    394   h0 0.888889 0.666667   0.700 1.000000 0.700000       1 0.846154 0.769231 0.790323     0.149370
    395   h0 0.888889 0.666667   0.700 1.000000 0.700000       1 0.846154 0.675824 0.785714     0.130467
    396   h0 0.631579 0.947368   0.855 0.666667 0.954545       1 0.962963 0.769231 0.785714     0.189474
    397   h0 0.666667 1.000000   0.900 0.700000 1.000000       1 1.000000 0.769231 0.785714     0.253846
    398   h0 0.666667 1.000000   0.900 0.700000 1.000000       1 1.000000 0.769231 0.785714     0.253846
    399   h0 0.666667 1.000000   0.900 0.700000 1.000000       1 1.000000 0.769231 0.785714     0.253846
    400   h0 0.789474 0.614035   0.850 0.614286 0.954545       1 0.649573 0.769231 0.721198     0.087067
    401   h0 1.000000 0.777778   1.000 0.700000 1.000000       1 0.769231 0.769231 0.785714     0.253123
    402   h0 1.000000 0.777778   1.000 0.700000 1.000000       1 0.769231 0.769231 0.785714     0.253123
    403   h0 1.000000 0.777778   1.000 0.676190 1.000000       1 0.769231 0.769231 0.769585     0.239494
    404   h0 0.736842 0.666667   0.700 0.700000 0.700000       1 0.746439 0.923077 0.767281     0.089077
    405   h0 0.777778 0.666667   0.700 0.700000 0.700000       1 0.769231 0.923077 0.785714     0.099224
    406   h0 0.777778 0.666667   0.700 0.700000 0.700000       1 0.769231 0.923077 0.785714     0.099224
    407   h0 0.777778 0.666667   0.700 0.700000 0.700000       1 0.769231 0.923077 0.785714     0.099224
    408   h0 0.736842 0.947368   0.700 1.000000 0.700000       1 0.746439 1.000000 0.767281     0.195902
    409   h0 0.777778 1.000000   0.700 1.000000 0.700000       1 0.769231 1.000000 0.785714     0.230342
    410   h0 0.777778 1.000000   0.700 1.000000 0.700000       1 0.769231 1.000000 0.785714     0.230342
    411   h0 0.777778 1.000000   0.700 1.000000 0.700000       1 0.769231 1.000000 0.785714     0.230342
    412   h0 0.947368 0.654971   1.000 0.700000 1.000000       1 0.712251 0.923077 0.767281     0.219111
    413   h0 1.000000 0.666667   1.000 0.700000 1.000000       1 0.769231 0.923077 0.785714     0.260355
    414   h0 1.000000 0.666667   1.000 0.700000 1.000000       1 0.769231 0.923077 0.785714     0.260355
    415   h0 1.000000 0.666667   1.000 0.700000 1.000000       1 0.769231 0.923077 0.758065     0.251193
    416   h0 0.502924 0.684211   0.610 0.647619 0.677273       1 0.888889 0.769231 0.682028     0.042935
    417   h0 0.666667 1.000000   0.700 0.800000 0.700000       1 0.923077 0.769231 0.785714     0.145799
    418   h0 0.666667 1.000000   0.700 0.800000 0.700000       1 0.923077 0.769231 0.785714     0.145799
    419   h0 0.666667 1.000000   0.700 0.800000 0.700000       1 0.923077 0.769231 0.785714     0.145799
    420   h0 0.842105 0.947368   0.665 0.857143 0.668182       1 0.740741 0.769231 0.785714     0.136032
    421   h0 0.888889 1.000000   0.700 0.900000 0.700000       1 0.769231 0.769231 0.785714     0.182249
    422   h0 0.888889 1.000000   0.700 0.900000 0.700000       1 0.769231 0.769231 0.785714     0.182249
    423   h0 0.888889 1.000000   0.700 0.900000 0.700000       1 0.769231 0.769231 0.852535     0.197748
    424   h0 0.842105 0.631579   0.950 0.857143 0.668182       1 0.740741 0.769231 0.785714     0.129555
    425   h0 0.888889 0.666667   1.000 0.900000 0.700000       1 0.769231 0.769231 0.785714     0.173570
    426   h0 0.888889 0.666667   1.000 0.900000 0.700000       1 0.769231 0.769231 0.785714     0.173570
    427   h0 0.888889 0.666667   1.000 0.900000 0.700000       1 0.569801 0.675824 0.721198     0.103683
    448   h0 0.947368 0.631579   0.855 0.666667 0.668182       1 0.814815 0.769231 0.785714     0.112227
    449   h0 1.000000 0.666667   0.900 0.700000 0.700000       1 0.846154 0.769231 0.785714     0.150355
    450   h0 1.000000 0.666667   0.900 0.700000 0.700000       1 0.846154 0.769231 0.785714     0.150355
    451   h0 1.000000 0.666667   0.900 0.700000 0.700000       1 0.846154 0.769231 0.785714     0.150355
    452   h0 1.000000 0.666667   0.810 0.500000 0.700000       1 0.532764 0.384615 0.785714     0.030429
    453   h0 0.210526 0.947368   0.475 0.952381 0.668182       1 0.279202 0.642857 0.564516     0.006108
    454   h0 0.619883 1.000000   0.690 1.000000 0.700000       1 0.769231 0.769231 0.785714     0.139199
    455   h0 0.666667 1.000000   0.700 1.000000 0.700000       1 0.769231 0.769231 0.785714     0.151874
    456   h0 0.666667 1.000000   0.700 1.000000 0.700000       1 0.769231 0.769231 0.785714     0.151874
    457   h0 0.666667 1.000000   0.650 0.714286 0.700000       1 0.740741 0.461538 0.758065     0.056153
    458   h0 0.947368 0.736842   0.950 0.952381 0.668182       1 0.923077 0.670330 0.714286     0.186518
    459   h0 1.000000 0.777778   1.000 1.000000 0.700000       1 0.923077 0.769231 0.714286     0.276134
    460   h0 1.000000 0.777778   1.000 1.000000 0.700000       1 0.923077 0.769231 0.714286     0.276134
    461   h0 1.000000 0.777778   1.000 1.000000 0.700000       1 0.923077 0.769231 0.714286     0.276134
    462   h0 1.000000 0.777778   0.900 0.714286 0.700000       1 0.581197 0.461538 0.778802     0.073118
    463   h0 0.631579 0.631579   0.760 0.666667 0.954545       1 0.740741 0.769231 0.785714     0.086370
    464   h0 0.666667 0.666667   0.800 0.700000 1.000000       1 0.769231 0.769231 0.785714     0.115713
    465   h0 0.666667 0.666667   0.800 0.700000 1.000000       1 0.769231 0.769231 0.785714     0.115713
    466   h0 0.666667 0.666667   0.800 0.700000 1.000000       1 0.769231 0.769231 0.785714     0.115713
    467   h0 0.666667 0.666667   0.720 0.500000 1.000000       1 0.484330 0.384615 0.656682     0.019572
    812   h1 0.596491 0.947368   0.695 0.723810 0.954545       1 0.769231 0.846154 0.785714     0.138771
    813   h1 0.666667 1.000000   0.700 0.800000 1.000000       1 0.769231 0.846154 0.785714     0.190927
    814   h1 0.666667 1.000000   0.700 0.800000 1.000000       1 0.769231 0.846154 0.785714     0.190927
    815   h1 0.795322 0.736842   0.950 0.642857 0.668182       1 0.769231 0.769231 0.785714     0.111180
    816   h1 0.888889 0.777778   1.000 0.700000 0.700000       1 0.769231 0.769231 0.785714     0.157499
    817   h1 0.888889 0.777778   1.000 0.700000 0.700000       1 0.769231 0.769231 0.785714     0.157499
    818   h1 0.596491 0.947368   0.700 0.666667 0.954545       1 0.769231 0.769231 0.857143     0.127671
    819   h1 0.666667 1.000000   0.700 0.700000 1.000000       1 0.769231 0.769231 0.857143     0.165680
    820   h1 0.666667 1.000000   0.700 0.700000 1.000000       1 0.769231 0.769231 0.857143     0.165680
    821   h1 0.894737 0.631579   0.800 0.952381 0.668182       1 0.769231 0.923077 0.857143     0.175092
    822   h1 1.000000 0.666667   0.800 1.000000 0.700000       1 0.769231 0.923077 0.788018     0.208895
    823   h1 1.000000 0.666667   0.800 1.000000 0.700000       1 0.769231 0.923077 0.785714     0.208284
    860   h1 0.795322 0.631579   0.665 0.952381 0.763636       1 0.846154 0.769231 0.785714     0.124240
    861   h1 0.888889 0.666667   0.700 1.000000 0.800000       1 0.846154 0.769231 0.785714     0.169713
