 ChipID Half   Layer0   Layer1  Layer2   Layer3  Layer4   Layer5   Layer6   Layer7   Layer8  Pseaudo_Eff
    344   h0 0.631579 0.842105   0.665 0.761905       1 0.668182 0.740741 0.846154 0.785714     0.088673
    345   h0 0.666667 0.888889   0.700 0.800000       1 0.700000 0.769231 0.846154 0.785714     0.118799
    346   h0 0.666667 0.888889   0.700 0.800000       1 0.700000 0.769231 0.846154 0.785714     0.118799
    347   h0 0.842105 0.842105   0.950 0.666667       1 0.859091 0.740741 0.769231 0.714286     0.157036
    348   h0 0.888889 0.888889   1.000 0.700000       1 0.900000 0.769231 0.769231 0.714286     0.210388
    349   h0 0.888889 0.888889   1.000 0.700000       1 0.900000 0.769231 0.769231 0.783410     0.230748
    350   h0 0.631579 0.947368   0.665 0.666667       1 0.727273 0.740741 0.769231 0.785714     0.086370
    351   h0 0.666667 1.000000   0.700 0.700000       1 0.800000 0.769231 0.769231 0.785714     0.121499
    352   h0 0.666667 1.000000   0.700 0.700000       1 0.800000 0.769231 0.769231 0.785714     0.121499
    353   h0 0.947368 0.631579   0.760 0.952381       1 0.645455 0.740741 0.923077 0.857143     0.163830
    354   h0 1.000000 0.666667   0.800 1.000000       1 0.700000 0.769231 0.923077 0.785714     0.208284
    355   h0 1.000000 0.666667   0.800 1.000000       1 0.700000 0.769231 0.923077 0.785714     0.208284
    392   h0 0.842105 0.631579   0.665 0.952381       1 0.954545 0.814815 0.769231 0.857143     0.172740
    393   h0 0.888889 0.666667   0.700 1.000000       1 1.000000 0.846154 0.769231 0.857143     0.231427
    394   h0 0.888889 0.666667   0.700 1.000000       1 1.000000 0.846154 0.769231 0.790323     0.213385
    395   h0 0.888889 0.666667   0.700 1.000000       1 1.000000 0.846154 0.675824 0.785714     0.186381
    396   h0 0.631579 0.947368   0.855 0.666667       1 0.668182 0.962963 0.769231 0.785714     0.132632
    397   h0 0.666667 1.000000   0.900 0.700000       1 0.700000 1.000000 0.769231 0.785714     0.177692
    398   h0 0.666667 1.000000   0.900 0.700000       1 0.700000 1.000000 0.769231 0.785714     0.177692
    399   h0 0.666667 1.000000   0.900 0.700000       1 0.700000 1.000000 0.769231 0.785714     0.177692
    400   h0 0.789474 0.614035   0.850 0.614286       1 0.654545 0.649573 0.769231 0.721198     0.059703
    401   h0 1.000000 0.777778   1.000 0.700000       1 0.700000 0.769231 0.769231 0.785714     0.177186
    402   h0 1.000000 0.777778   1.000 0.700000       1 0.700000 0.769231 0.769231 0.785714     0.177186
    403   h0 1.000000 0.777778   1.000 0.676190       1 0.700000 0.769231 0.769231 0.769585     0.167646
    404   h0 0.736842 0.666667   0.700 0.700000       1 0.700000 0.746439 0.923077 0.767281     0.089077
    405   h0 0.777778 0.666667   0.700 0.700000       1 0.700000 0.769231 0.923077 0.785714     0.099224
    406   h0 0.777778 0.666667   0.700 0.700000       1 0.700000 0.769231 0.923077 0.785714     0.099224
    407   h0 0.777778 0.666667   0.700 0.700000       1 0.700000 0.769231 0.923077 0.785714     0.099224
    408   h0 0.736842 0.947368   0.700 1.000000       1 1.000000 0.746439 1.000000 0.767281     0.279860
    409   h0 0.777778 1.000000   0.700 1.000000       1 1.000000 0.769231 1.000000 0.785714     0.329060
    410   h0 0.777778 1.000000   0.700 1.000000       1 1.000000 0.769231 1.000000 0.785714     0.329060
    411   h0 0.777778 1.000000   0.700 1.000000       1 1.000000 0.769231 1.000000 0.785714     0.329060
    412   h0 0.947368 0.654971   1.000 0.700000       1 0.700000 0.712251 0.923077 0.767281     0.153378
    413   h0 1.000000 0.666667   1.000 0.700000       1 0.700000 0.769231 0.923077 0.785714     0.182249
    414   h0 1.000000 0.666667   1.000 0.700000       1 0.700000 0.769231 0.923077 0.785714     0.182249
    415   h0 1.000000 0.666667   1.000 0.700000       1 0.700000 0.769231 0.923077 0.758065     0.175835
    416   h0 0.502924 0.684211   0.610 0.647619       1 0.618182 0.888889 0.769231 0.682028     0.039189
    417   h0 0.666667 1.000000   0.700 0.800000       1 0.700000 0.923077 0.769231 0.785714     0.145799
    418   h0 0.666667 1.000000   0.700 0.800000       1 0.700000 0.923077 0.769231 0.785714     0.145799
    419   h0 0.666667 1.000000   0.700 0.800000       1 0.700000 0.923077 0.769231 0.785714     0.145799
    420   h0 0.842105 0.947368   0.665 0.857143       1 0.659091 0.740741 0.769231 0.785714     0.134182
    421   h0 0.888889 1.000000   0.700 0.900000       1 0.700000 0.769231 0.769231 0.785714     0.182249
    422   h0 0.888889 1.000000   0.700 0.900000       1 0.700000 0.769231 0.769231 0.785714     0.182249
    423   h0 0.888889 1.000000   0.700 0.900000       1 0.700000 0.769231 0.769231 0.852535     0.197748
    424   h0 0.842105 0.631579   0.950 0.857143       1 0.909091 0.740741 0.769231 0.785714     0.176265
    425   h0 0.888889 0.666667   1.000 0.900000       1 1.000000 0.769231 0.769231 0.785714     0.247957
    426   h0 0.888889 0.666667   1.000 0.900000       1 1.000000 0.769231 0.769231 0.785714     0.247957
    427   h0 0.888889 0.666667   1.000 0.900000       1 1.000000 0.569801 0.675824 0.721198     0.148119
    448   h0 0.947368 0.631579   0.855 0.666667       1 0.763636 0.814815 0.769231 0.785714     0.128259
    449   h0 1.000000 0.666667   0.900 0.700000       1 0.800000 0.846154 0.769231 0.785714     0.171834
    450   h0 1.000000 0.666667   0.900 0.700000       1 0.800000 0.846154 0.769231 0.785714     0.171834
    451   h0 1.000000 0.666667   0.900 0.700000       1 0.800000 0.846154 0.769231 0.785714     0.171834
    452   h0 1.000000 0.666667   0.810 0.500000       1 0.800000 0.532764 0.384615 0.785714     0.034776
    453   h0 0.210526 0.947368   0.475 0.952381       1 0.954545 0.279202 0.642857 0.564516     0.008726
    454   h0 0.619883 1.000000   0.690 1.000000       1 1.000000 0.769231 0.769231 0.785714     0.198855
    455   h0 0.666667 1.000000   0.700 1.000000       1 1.000000 0.769231 0.769231 0.785714     0.216963
    456   h0 0.666667 1.000000   0.700 1.000000       1 1.000000 0.769231 0.769231 0.785714     0.216963
    457   h0 0.666667 1.000000   0.650 0.714286       1 1.000000 0.740741 0.461538 0.758065     0.080218
    458   h0 0.947368 0.736842   0.950 0.952381       1 0.954545 0.923077 0.670330 0.714286     0.266454
    459   h0 1.000000 0.777778   1.000 1.000000       1 1.000000 0.923077 0.769231 0.714286     0.394477
    460   h0 1.000000 0.777778   1.000 1.000000       1 1.000000 0.923077 0.769231 0.714286     0.394477
    461   h0 1.000000 0.777778   1.000 1.000000       1 1.000000 0.923077 0.769231 0.714286     0.394477
    462   h0 1.000000 0.777778   0.900 0.714286       1 1.000000 0.581197 0.461538 0.778802     0.104455
    463   h0 0.631579 0.631579   0.760 0.666667       1 0.668182 0.740741 0.769231 0.785714     0.060459
    464   h0 0.666667 0.666667   0.800 0.700000       1 0.700000 0.769231 0.769231 0.785714     0.080999
    465   h0 0.666667 0.666667   0.800 0.700000       1 0.700000 0.769231 0.769231 0.785714     0.080999
    466   h0 0.666667 0.666667   0.800 0.700000       1 0.700000 0.769231 0.769231 0.785714     0.080999
    467   h0 0.666667 0.666667   0.720 0.500000       1 0.700000 0.484330 0.384615 0.656682     0.013701
    812   h1 0.596491 0.947368   0.695 0.723810       1 0.800000 0.769231 0.846154 0.785714     0.116303
    813   h1 0.666667 1.000000   0.700 0.800000       1 0.750000 0.769231 0.846154 0.785714     0.143195
    814   h1 0.666667 1.000000   0.700 0.800000       1 0.686364 0.769231 0.846154 0.785714     0.131045
    815   h1 0.795322 0.736842   0.950 0.642857       1 0.900000 0.769231 0.769231 0.785714     0.149753
    816   h1 0.888889 0.777778   1.000 0.700000       1 0.900000 0.769231 0.769231 0.785714     0.202498
    817   h1 0.888889 0.777778   1.000 0.700000       1 0.900000 0.769231 0.769231 0.785714     0.202498
    818   h1 0.596491 0.947368   0.700 0.666667       1 0.800000 0.769231 0.769231 0.857143     0.107001
    819   h1 0.666667 1.000000   0.700 0.700000       1 0.800000 0.769231 0.769231 0.857143     0.132544
    820   h1 0.666667 1.000000   0.700 0.700000       1 0.800000 0.769231 0.769231 0.857143     0.132544
    821   h1 0.894737 0.631579   0.800 0.952381       1 0.700000 0.769231 0.923077 0.857143     0.183430
    822   h1 1.000000 0.666667   0.800 1.000000       1 0.650000 0.769231 0.923077 0.788018     0.193974
    823   h1 1.000000 0.666667   0.800 1.000000       1 0.595455 0.769231 0.923077 0.785714     0.177177
    860   h1 0.795322 0.631579   0.665 0.952381       1 1.000000 0.846154 0.769231 0.785714     0.162695
    861   h1 0.888889 0.666667   0.700 1.000000       1 1.000000 0.846154 0.769231 0.785714     0.212141
    862   h1 0.888889 0.666667   0.700 1.000000       1 1.000000 0.846154 0.769231 0.785714     0.212141
    863   h1 0.888889 0.666667   0.700 1.000000       1 1.000000 0.846154 0.620879 0.785714     0.171228
    864   h1 0.596491 0.947368   0.855 0.666667       1 0.700000 1.000000 0.769231 0.785714     0.136275
    865   h1 0.666667 1.000000   0.900 0.700000       1 0.700000 1.000000 0.769231 0.785714     0.177692
    866   h1 0.666667 1.000000   0.900 0.700000       1 0.700000 1.000000 0.769231 0.785714     0.177692
    867   h1 0.666667 1.000000   0.900 0.700000       1 0.700000 1.000000 0.769231 0.785714     0.177692
    868   h1 0.842105 0.573099   0.900 0.642857       1 0.677273 0.683761 0.846154 0.737327     0.080673
    869   h1 1.000000 0.777778   1.000 0.700000       1 0.700000 0.769231 0.846154 0.785714     0.194905
    870   h1 1.000000 0.777778   1.000 0.700000       1 0.700000 0.769231 0.769231 0.785714     0.177186
    871   h1 1.000000 0.777778   1.000 0.676190       1 0.700000 0.769231 0.846154 0.767281     0.183858
    872   h1 0.596491 0.666667   0.700 0.700000       1 0.700000 0.757835 0.923077 0.778802     0.074310
    873   h1 0.666667 0.666667   0.700 0.700000       1 0.700000 0.769231 0.923077 0.785714     0.085049
    874   h1 0.666667 0.666667   0.700 0.700000       1 0.700000 0.769231 0.923077 0.785714     0.085049
    875   h1 0.666667 0.666667   0.700 0.700000       1 0.700000 0.769231 0.923077 0.785714     0.085049
    876   h1 0.695906 1.000000   0.700 1.000000       1 1.000000 0.769231 1.000000 0.760369     0.284924
    877   h1 0.777778 1.000000   0.700 1.000000       1 1.000000 0.769231 1.000000 0.785714     0.329060
    878   h1 0.777778 1.000000   0.700 1.000000       1 1.000000 0.769231 1.000000 0.785714     0.329060
    879   h1 0.777778 1.000000   0.700 1.000000       1 1.000000 0.769231 1.000000 0.785714     0.329060
    880   h1 0.894737 0.649123   1.000 0.700000       1 0.700000 0.814815 0.846154 0.744240     0.146029
    881   h1 1.000000 0.666667   1.000 0.700000       1 0.700000 0.846154 0.846154 0.785714     0.183767
    882   h1 1.000000 0.666667   1.000 0.700000       1 0.700000 0.769231 0.846154 0.785714     0.167061
    883   h1 1.000000 0.666667   1.000 0.700000       1 0.700000 0.769231 0.846154 0.767281     0.163142
    884   h1 0.479532 0.736842   0.625 0.647619       1 0.618182 0.925926 0.747253 0.702765     0.042989
    885   h1 0.666667 1.000000   0.700 0.800000       1 0.700000 1.000000 0.769231 0.785714     0.157949
    886   h1 0.666667 1.000000   0.700 0.800000       1 0.700000 1.000000 0.769231 0.785714     0.157949
    887   h1 0.666667 1.000000   0.700 0.800000       1 0.700000 1.000000 0.769231 0.785714     0.157949
    888   h1 0.947368 0.947368   0.700 0.952381       1 0.600000 0.769231 0.769231 0.785714     0.166907
    889   h1 1.000000 1.000000   0.700 1.000000       1 0.650000 0.769231 0.769231 0.788018     0.212159
    890   h1 1.000000 1.000000   0.700 1.000000       1 0.695455 0.769231 0.769231 0.788018     0.226995
    891   h1 1.000000 1.000000   0.700 1.000000       1 0.600000 0.769231 0.769231 0.785714     0.195266
    892   h1 0.695906 0.631579   1.000 0.761905       1 1.000000 0.769231 0.769231 0.857143     0.169842
