 ChipID Half   Layer0   Layer1   Layer2  Layer3  Layer4  Layer5   Layer6  Layer7  Layer8  Pseaudo_Eff
    229   h0 0.944444 0.629630 0.736842       1   0.665       1 0.960000       1       1     0.279723
    230   h0 1.000000 0.666667 0.777778       1   0.700       1 1.000000       1       1     0.362963
    231   h0 1.000000 0.666667 0.777778       1   0.700       1 1.000000       1       1     0.362963
    232   h0 0.590278 0.944444 0.736842       1   0.950       1 0.720000       1       1     0.280972
    233   h0 0.625000 1.000000 0.777778       1   1.000       1 0.750000       1       1     0.364583
    234   h0 0.625000 1.000000 0.777778       1   1.000       1 0.750000       1       1     0.364583
    235   h0 0.944444 0.629630 0.947368       1   0.665       1 0.720000       1       1     0.269733
    236   h0 1.000000 0.666667 1.000000       1   0.700       1 0.750000       1       1     0.350000
    237   h0 1.000000 0.666667 1.000000       1   0.700       1 0.750000       1       1     0.350000
    238   h0 0.590278 0.839506 0.631579       1   0.950       1 0.880000       1       1     0.261646
    239   h0 0.625000 0.888889 0.777778       1   1.000       1 0.916667       1       1     0.396091
    240   h0 0.625000 0.888889 0.777778       1   1.000       1 0.916667       1       1     0.396091
    241   h0 0.944444 0.734568 0.736842       1   0.665       1 0.880000       1       1     0.299149
    242   h0 1.000000 0.777778 0.777778       1   0.700       1 0.916667       1       1     0.388169
    243   h0 1.000000 0.777778 0.777778       1   0.700       1 0.916667       1       1     0.388169
    288   h0 0.590278 0.839506 0.631579       1   0.855       1 0.720000       1       1     0.192667
    289   h0 0.625000 0.888889 0.666667       1   0.900       1 0.750000       1       1     0.250000
    290   h0 0.625000 0.888889 0.666667       1   0.900       1 0.750000       1       1     0.250000
    291   h0 0.625000 0.888889 0.666667       1   0.900       1 0.750000       1       1     0.250000
    292   h0 0.944444 0.734568 0.947368       1   0.855       1 0.880000       1       1     0.494511
    293   h0 1.000000 0.777778 1.000000       1   0.900       1 0.916667       1       1     0.641667
    294   h0 1.000000 0.777778 1.000000       1   0.900       1 0.916667       1       1     0.641667
    295   h0 1.000000 0.777778 1.000000       1   0.900       1 0.916667       1       1     0.641667
    296   h0 0.000000 0.734568 0.210526       1   0.475       1 0.240000       1       1     0.000000
    297   h0 0.583333 0.777778 0.596491       1   0.690       1 1.000000       1       1     0.186735
    298   h0 0.750000 0.777778 0.666667       1   0.700       1 1.000000       1       1     0.272222
    299   h0 0.750000 0.777778 0.666667       1   0.700       1 1.000000       1       1     0.272222
    300   h0 0.486111 0.500000 0.631579       1   0.700       1 0.400000       1       1     0.042982
    301   h0 0.875000 1.000000 1.000000       1   1.000       1 0.750000       1       1     0.656250
    302   h0 0.875000 1.000000 1.000000       1   1.000       1 0.750000       1       1     0.656250
    303   h0 0.875000 1.000000 1.000000       1   1.000       1 0.750000       1       1     0.656250
    304   h0 0.631944 0.512346 0.614035       1   0.605       1 0.536667       1       1     0.064550
    305   h0 0.875000 0.666667 0.777778       1   0.700       1 0.750000       1       1     0.238194
    306   h0 0.875000 0.666667 0.777778       1   0.700       1 0.750000       1       1     0.238194
    307   h0 0.875000 0.666667 0.777778       1   0.700       1 0.750000       1       1     0.238194
    308   h0 0.541667 0.722222 0.614035       1   0.630       1 0.543333       1       1     0.082225
    309   h0 0.750000 1.000000 0.777778       1   0.700       1 0.750000       1       1     0.306250
    310   h0 0.750000 1.000000 0.777778       1   0.700       1 0.750000       1       1     0.306250
    311   h0 0.750000 1.000000 0.777778       1   0.700       1 0.750000       1       1     0.306250
    312   h0 0.722222 0.469136 0.789474       1   0.900       1 0.623333       1       1     0.150062
    313   h0 1.000000 0.666667 1.000000       1   1.000       1 0.916667       1       1     0.611111
    314   h0 1.000000 0.666667 1.000000       1   1.000       1 0.916667       1       1     0.611111
    315   h0 1.000000 0.666667 1.000000       1   1.000       1 0.916667       1       1     0.611111
    316   h0 0.208333 0.444444 0.409357       1   0.550       1 0.550000       1       1     0.011466
    317   h0 0.625000 1.000000 0.666667       1   0.700       1 0.916667       1       1     0.267361
    318   h0 0.625000 1.000000 0.666667       1   0.700       1 0.916667       1       1     0.267361
    319   h0 0.625000 1.000000 0.666667       1   0.700       1 0.916667       1       1     0.267361
    320   h0 0.944444 0.419753 0.947368       1   0.950       1 0.643333       1       1     0.229535
    321   h0 1.000000 0.617284 1.000000       1   1.000       1 0.750000       1       1     0.462963
    322   h0 1.000000 0.666667 1.000000       1   1.000       1 0.750000       1       1     0.500000
    323   h0 1.000000 0.666667 1.000000       1   1.000       1 0.750000       1       1     0.500000
    324   h0 0.590278 0.944444 0.631579       1   0.760       1 0.720000       1       1     0.192667
    325   h0 0.625000 1.000000 0.666667       1   0.800       1 0.750000       1       1     0.250000
    326   h0 0.625000 1.000000 0.666667       1   0.800       1 0.750000       1       1     0.250000
    327   h0 0.625000 1.000000 0.666667       1   0.800       1 0.750000       1       1     0.250000
    328   h0 0.944444 0.629630 0.947368       1   0.665       1 0.720000       1       1     0.269733
    329   h0 1.000000 0.666667 1.000000       1   0.700       1 0.750000       1       1     0.350000
    330   h0 1.000000 0.666667 1.000000       1   0.700       1 0.750000       1       1     0.350000
    331   h0 1.000000 0.666667 1.000000       1   0.700       1 0.750000       1       1     0.350000
    697   h1 0.888889 0.592593 0.596491       1   0.665       1 1.000000       1       1     0.208944
    698   h1 1.000000 0.666667 0.666667       1   0.700       1 1.000000       1       1     0.311111
    699   h1 1.000000 0.666667 0.666667       1   0.700       1 1.000000       1       1     0.311111
    700   h1 0.555556 0.888889 0.695906       1   0.950       1 0.750000       1       1     0.244856
    701   h1 0.625000 1.000000 0.777778       1   1.000       1 0.750000       1       1     0.364583
    702   h1 0.625000 1.000000 0.777778       1   1.000       1 0.750000       1       1     0.364583
    703   h1 0.888889 0.592593 0.894737       1   0.665       1 0.750000       1       1     0.235062
    704   h1 1.000000 0.666667 1.000000       1   0.700       1 0.750000       1       1     0.350000
    705   h1 1.000000 0.666667 1.000000       1   0.700       1 0.750000       1       1     0.350000
    706   h1 0.576389 0.790123 0.631579       1   1.000       1 1.000000       1       1     0.287633
    707   h1 0.625000 0.888889 0.666667       1   1.000       1 1.000000       1       1     0.370370
    708   h1 0.625000 0.888889 0.666667       1   1.000       1 1.000000       1       1     0.370370
    709   h1 0.888889 0.691358 0.736842       1   0.665       1 0.916667       1       1     0.276031
    710   h1 1.000000 0.777778 0.777778       1   0.700       1 0.916667       1       1     0.388169
    711   h1 1.000000 0.777778 0.777778       1   0.700       1 0.916667       1       1     0.388169
    756   h1 0.555556 0.888889 0.602339       1   0.855       1 0.750000       1       1     0.190741
    757   h1 0.625000 1.000000 0.666667       1   0.900       1 0.750000       1       1     0.281250
    758   h1 0.625000 1.000000 0.666667       1   0.900       1 0.750000       1       1     0.281250
    759   h1 0.625000 1.000000 0.666667       1   0.900       1 0.750000       1       1     0.281250
    760   h1 0.888889 0.691358 0.947368       1   0.855       1 0.916667       1       1     0.456296
    761   h1 1.000000 0.777778 1.000000       1   0.900       1 0.916667       1       1     0.641667
    762   h1 1.000000 0.777778 1.000000       1   0.900       1 0.916667       1       1     0.641667
    763   h1 1.000000 0.777778 1.000000       1   0.900       1 0.916667       1       1     0.641667
    764   h1 0.000000 0.691358 0.210526       1   0.475       1 0.256667       1       1     0.000000
    765   h1 0.486111 0.777778 0.596491       1   0.690       1 0.916667       1       1     0.142645
    766   h1 0.625000 0.777778 0.666667       1   0.700       1 0.916667       1       1     0.207948
    767   h1 0.625000 0.777778 0.666667       1   0.700       1 0.916667       1       1     0.207948
    768   h1 0.555556 0.444444 0.631579       1   0.750       1 0.430000       1       1     0.050292
    769   h1 1.000000 0.888889 1.000000       1   1.000       1 0.750000       1       1     0.666667
    770   h1 1.000000 0.888889 1.000000       1   1.000       1 0.750000       1       1     0.666667
    771   h1 1.000000 0.888889 1.000000       1   1.000       1 0.750000       1       1     0.666667
    772   h1 0.500000 0.481481 0.526316       1   0.640       1 0.573333       1       1     0.046493
    773   h1 0.750000 0.666667 0.666667       1   0.700       1 0.750000       1       1     0.175000
    774   h1 0.750000 0.666667 0.666667       1   0.700       1 0.750000       1       1     0.175000
    775   h1 0.750000 0.666667 0.666667       1   0.700       1 0.750000       1       1     0.175000
    776   h1 0.583333 0.777778 0.614035       1   0.630       1 0.573333       1       1     0.100627
    777   h1 0.875000 1.000000 0.777778       1   0.700       1 0.750000       1       1     0.357292
    778   h1 0.875000 1.000000 0.777778       1   0.700       1 0.750000       1       1     0.357292
    779   h1 0.875000 1.000000 0.777778       1   0.700       1 0.750000       1       1     0.357292
    780   h1 0.583333 0.506173 0.789474       1   0.900       1 0.660000       1       1     0.138465
    781   h1 0.875000 0.666667 1.000000       1   1.000       1 0.916667       1       1     0.534722
    782   h1 0.875000 0.666667 1.000000       1   1.000       1 0.916667       1       1     0.534722
    783   h1 0.875000 0.666667 1.000000       1   1.000       1 0.916667       1       1     0.534722
    784   h1 0.208333 0.444444 0.345029       1   0.565       1 0.586667       1       1     0.010589
    785   h1 0.750000 1.000000 0.666667       1   0.700       1 0.916667       1       1     0.320833
    786   h1 0.750000 1.000000 0.666667       1   0.700       1 0.916667       1       1     0.320833
    787   h1 0.750000 1.000000 0.666667       1   0.700       1 0.916667       1       1     0.320833
    788   h1 0.888889 0.395062 0.947368       1   0.950       1 0.673333       1       1     0.212807
    789   h1 1.000000 0.629630 1.000000       1   1.000       1 0.750000       1       1     0.472222
    790   h1 1.000000 0.666667 1.000000       1   1.000       1 0.750000       1       1     0.500000
    791   h1 1.000000 0.666667 1.000000       1   1.000       1 0.750000       1       1     0.500000
    792   h1 0.555556 0.888889 0.631579       1   0.760       1 0.750000       1       1     0.177778
    793   h1 0.625000 1.000000 0.666667       1   0.800       1 0.750000       1       1     0.250000
    794   h1 0.625000 1.000000 0.666667       1   0.800       1 0.750000       1       1     0.250000
    795   h1 0.625000 1.000000 0.666667       1   0.800       1 0.750000       1       1     0.250000
    796   h1 0.944444 0.592593 0.947368       1   0.665       1 0.750000       1       1     0.264444
    797   h1 1.000000 0.666667 1.000000       1   0.700       1 0.750000       1       1     0.350000
    798   h1 1.000000 0.666667 1.000000       1   0.700       1 0.750000       1       1     0.350000
    799   h1 1.000000 0.666667 1.000000       1   0.700       1 0.750000       1       1     0.350000
