 ChipID Half   Layer0   Layer1   Layer2  Layer3  Layer4  Layer5   Layer6  Layer7  Layer8  Pseaudo_Eff
    229   h0 0.944444 0.629630 0.736842       1       1   0.950 0.960000       1       1     0.399605
    230   h0 1.000000 0.666667 0.777778       1       1   1.000 1.000000       1       1     0.518519
    231   h0 1.000000 0.666667 0.777778       1       1   1.000 1.000000       1       1     0.518519
    232   h0 0.590278 0.944444 0.736842       1       1   0.665 0.720000       1       1     0.196681
    233   h0 0.625000 1.000000 0.777778       1       1   0.700 0.750000       1       1     0.255208
    234   h0 0.625000 1.000000 0.777778       1       1   0.700 0.750000       1       1     0.255208
    235   h0 0.944444 0.629630 0.947368       1       1   0.855 0.720000       1       1     0.346800
    236   h0 1.000000 0.666667 1.000000       1       1   0.900 0.750000       1       1     0.450000
    237   h0 1.000000 0.666667 1.000000       1       1   0.900 0.750000       1       1     0.450000
    238   h0 0.590278 0.839506 0.631579       1       1   0.630 0.880000       1       1     0.173513
    239   h0 0.625000 0.888889 0.777778       1       1   0.700 0.916667       1       1     0.277263
    240   h0 0.625000 0.888889 0.777778       1       1   0.700 0.916667       1       1     0.277263
    241   h0 0.944444 0.734568 0.736842       1       1   0.630 0.880000       1       1     0.283404
    242   h0 1.000000 0.777778 0.777778       1       1   0.700 0.916667       1       1     0.388169
    243   h0 1.000000 0.777778 0.777778       1       1   0.700 0.916667       1       1     0.388169
    288   h0 0.590278 0.839506 0.631579       1       1   0.760 0.720000       1       1     0.171259
    289   h0 0.625000 0.888889 0.666667       1       1   0.800 0.750000       1       1     0.222222
    290   h0 0.625000 0.888889 0.666667       1       1   0.800 0.750000       1       1     0.222222
    291   h0 0.625000 0.888889 0.666667       1       1   0.800 0.750000       1       1     0.222222
    292   h0 0.944444 0.734568 0.947368       1       1   0.665 0.880000       1       1     0.384620
    293   h0 1.000000 0.777778 1.000000       1       1   0.700 0.916667       1       1     0.499074
    294   h0 1.000000 0.777778 1.000000       1       1   0.700 0.916667       1       1     0.499074
    295   h0 1.000000 0.777778 1.000000       1       1   0.700 0.916667       1       1     0.499074
    296   h0 0.000000 0.734568 0.210526       1       1   0.950 0.240000       1       1     0.000000
    297   h0 0.583333 0.777778 0.596491       1       1   1.000 1.000000       1       1     0.270630
    298   h0 0.750000 0.777778 0.666667       1       1   1.000 1.000000       1       1     0.388889
    299   h0 0.750000 0.777778 0.666667       1       1   1.000 1.000000       1       1     0.388889
    300   h0 0.486111 0.500000 0.631579       1       1   0.455 0.400000       1       1     0.027939
    301   h0 0.875000 1.000000 1.000000       1       1   0.700 0.750000       1       1     0.459375
    302   h0 0.875000 1.000000 1.000000       1       1   0.700 0.750000       1       1     0.459375
    303   h0 0.875000 1.000000 1.000000       1       1   0.700 0.750000       1       1     0.459375
    304   h0 0.631944 0.512346 0.614035       1       1   0.665 0.536667       1       1     0.070951
    305   h0 0.875000 0.666667 0.777778       1       1   0.700 0.750000       1       1     0.238194
    306   h0 0.875000 0.666667 0.777778       1       1   0.700 0.750000       1       1     0.238194
    307   h0 0.875000 0.666667 0.777778       1       1   0.700 0.750000       1       1     0.238194
    308   h0 0.541667 0.722222 0.614035       1       1   0.900 0.543333       1       1     0.117464
    309   h0 0.750000 1.000000 0.777778       1       1   1.000 0.750000       1       1     0.437500
    310   h0 0.750000 1.000000 0.777778       1       1   1.000 0.750000       1       1     0.437500
    311   h0 0.750000 1.000000 0.777778       1       1   1.000 0.750000       1       1     0.437500
    312   h0 0.722222 0.469136 0.789474       1       1   0.645 0.623333       1       1     0.107544
    313   h0 1.000000 0.666667 1.000000       1       1   0.700 0.916667       1       1     0.427778
    314   h0 1.000000 0.666667 1.000000       1       1   0.700 0.916667       1       1     0.427778
    315   h0 1.000000 0.666667 1.000000       1       1   0.700 0.916667       1       1     0.427778
    316   h0 0.208333 0.444444 0.409357       1       1   0.495 0.550000       1       1     0.010319
    317   h0 0.625000 1.000000 0.666667       1       1   0.900 0.916667       1       1     0.343750
    318   h0 0.625000 1.000000 0.666667       1       1   0.900 0.916667       1       1     0.343750
    319   h0 0.625000 1.000000 0.666667       1       1   0.900 0.916667       1       1     0.343750
    320   h0 0.944444 0.419753 0.947368       1       1   0.855 0.643333       1       1     0.206581
    321   h0 1.000000 0.617284 1.000000       1       1   0.900 0.750000       1       1     0.416667
    322   h0 1.000000 0.666667 1.000000       1       1   0.900 0.750000       1       1     0.450000
    323   h0 1.000000 0.666667 1.000000       1       1   0.900 0.750000       1       1     0.450000
    324   h0 0.590278 0.944444 0.631579       1       1   0.665 0.720000       1       1     0.168583
    325   h0 0.625000 1.000000 0.666667       1       1   0.700 0.750000       1       1     0.218750
    326   h0 0.625000 1.000000 0.666667       1       1   0.700 0.750000       1       1     0.218750
    327   h0 0.625000 1.000000 0.666667       1       1   0.700 0.750000       1       1     0.218750
