 ChipID Half   Layer0  Layer1   Layer2   Layer3  Layer4   Layer5  Layer6  Layer7  Layer8  Pseaudo_Eff
    214   h0 0.734568       1 0.947368 0.633333   0.665 0.761905       1       1       1     0.223309
    215   h0 0.777778       1 1.000000 0.666667   0.700 0.800000       1       1       1     0.290370
    216   h0 0.777778       1 1.000000 0.666667   0.700 0.800000       1       1       1     0.290370
    217   h0 0.944444       1 0.631579 0.950000   0.665 0.952381       1       1       1     0.358889
    218   h0 1.000000       1 0.666667 1.000000   0.700 1.000000       1       1       1     0.466667
    219   h0 1.000000       1 0.666667 1.000000   0.700 1.000000       1       1       1     0.466667
    220   h0 0.629630       1 0.631579 0.633333   0.950 0.642857       1       1       1     0.153810
    221   h0 0.666667       1 0.666667 0.666667   1.000 0.700000       1       1       1     0.207407
    222   h0 0.666667       1 0.666667 0.666667   1.000 0.700000       1       1       1     0.207407
    223   h0 0.944444       1 0.947368 0.950000   0.665 0.723810       1       1       1     0.409133
    224   h0 1.000000       1 1.000000 1.000000   0.700 0.800000       1       1       1     0.560000
    225   h0 1.000000       1 1.000000 1.000000   0.700 0.800000       1       1       1     0.560000
    226   h0 0.629630       1 0.736842 0.633333   0.950 0.904762       1       1       1     0.252551
    227   h0 0.666667       1 0.777778 0.666667   1.000 1.000000       1       1       1     0.345679
    228   h0 0.666667       1 0.777778 0.666667   1.000 1.000000       1       1       1     0.345679
    244   h0 0.629630       1 0.842105 0.738889   0.950 0.666667       1       1       1     0.248121
    245   h0 0.666667       1 0.888889 0.777778   1.000 0.700000       1       1       1     0.322634
    246   h0 0.666667       1 0.888889 0.777778   1.000 0.700000       1       1       1     0.322634
    247   h0 0.666667       1 0.888889 0.777778   1.000 0.700000       1       1       1     0.322634
    248   h0 0.944444       1 0.842105 0.633333   0.665 0.857143       1       1       1     0.287111
    249   h0 1.000000       1 0.888889 0.666667   0.700 0.900000       1       1       1     0.373333
    250   h0 1.000000       1 0.888889 0.666667   0.700 0.900000       1       1       1     0.373333
    251   h0 1.000000       1 0.888889 0.666667   0.700 0.900000       1       1       1     0.373333
    252   h0 0.419753       1 0.526316 0.950000   0.855 0.857143       1       1       1     0.153810
    253   h0 0.617284       1 0.649123 1.000000   0.900 0.900000       1       1       1     0.324561
    254   h0 0.666667       1 0.666667 1.000000   0.900 0.900000       1       1       1     0.360000
    255   h0 0.666667       1 0.666667 1.000000   0.900 0.900000       1       1       1     0.360000
    256   h0 0.444444       1 0.473684 0.444444   0.495 0.557143       1       1       1     0.025805
    257   h0 1.000000       1 1.000000 0.666667   0.900 0.700000       1       1       1     0.420000
    258   h0 1.000000       1 1.000000 0.666667   0.900 0.700000       1       1       1     0.420000
    259   h0 1.000000       1 1.000000 0.666667   0.900 0.700000       1       1       1     0.420000
    260   h0 0.469136       1 0.526316 0.850000   0.635 0.904762       1       1       1     0.120579
    261   h0 0.666667       1 0.666667 1.000000   0.700 1.000000       1       1       1     0.311111
    262   h0 0.666667       1 0.666667 1.000000   0.700 1.000000       1       1       1     0.311111
    263   h0 0.666667       1 0.666667 1.000000   0.700 1.000000       1       1       1     0.311111
    264   h0 0.722222       1 0.789474 0.661111   0.900 0.633333       1       1       1     0.214861
    265   h0 1.000000       1 1.000000 0.777778   1.000 0.700000       1       1       1     0.544444
    266   h0 1.000000       1 1.000000 0.777778   1.000 0.700000       1       1       1     0.544444
    267   h0 1.000000       1 1.000000 0.777778   1.000 0.700000       1       1       1     0.544444
