ChipID	Half	Layer0	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Peff(%)	Peff_Original(%)
214	h0	0.667	1	0.957	0.697	1	0.72	0.929	1	1	29.76	29.76
215	h0	0.7	1	1.0	0.727	1	0.75	0.929	1	1	35.46	35.46
216	h0	0.7	1	0.826	0.515	1	0.45	0.929	1	1	12.45	12.45
217	h0	0.952	1	0.696	0.697	1	0.96	0.929	1	1	41.19	41.19
218	h0	1.0	1	0.727	0.727	1	1.0	0.929	1	1	49.1	49.1
219	h0	1.0	1	0.727	0.542	1	1.0	0.929	1	1	36.61	36.61
220	h0	0.0	1	0.783	0.871	1	0.72	0.899	1	1	0.0	42.03
221	h0	0.0	1	0.771	0.909	1	0.75	0.929	1	1	0.0	48.83
222	h0	0.0	1	0.727	0.909	1	0.75	0.929	1	1	0.0	46.04
223	h0	0.0	1	0.957	0.958	1	0.8	0.929	1	1	0.0	51.92
224	h0	0.0	1	1.0	1.0	1	0.833	0.929	1	1	0.0	58.58
225	h0	0.0	1	0.826	0.708	1	0.833	0.929	1	1	0.0	31.68
226	h0	0.0	1	0.609	0.174	1	0.96	0.857	1	1	0.0	4.98
227	h0	0.0	1	0.688	0.182	1	1.0	0.857	1	1	0.0	6.95
228	h0	0.0	1	0.601	0.129	1	0.6	0.857	1	1	0.0	2.79
244	h0	0.667	1	0.696	0.958	1	0.72	0.929	1	1	29.75	29.75
245	h0	0.7	1	0.727	1.0	1	0.75	0.929	1	1	35.46	35.46
246	h0	0.7	1	0.727	1.0	1	0.75	0.929	1	1	35.46	35.46
247	h0	0.7	1	0.727	1.0	1	0.63	0.929	1	1	29.78	29.78
248	h0	0.667	1	0.87	0.784	1	0.72	1.0	1	1	32.76	32.76
249	h0	0.7	1	0.909	0.818	1	0.75	1.0	1	1	39.04	39.04
250	h0	0.7	1	0.909	0.818	1	0.75	1.0	1	1	39.04	39.04
251	h0	0.7	1	0.818	0.818	1	0.71	0.929	1	1	30.89	30.89
252	h0	0.952	1	0.957	0.697	1	0.72	1.0	1	1	45.72	45.72
253	h0	1.0	1	1.0	0.727	1	0.75	1.0	1	1	54.52	54.52
254	h0	1.0	1	1.0	0.727	1	0.75	1.0	1	1	54.52	54.52
255	h0	1.0	1	1.0	0.727	1	0.75	1.0	1	1	54.52	54.52
256	h0	0.467	1	0.585	0.727	1	0.917	1.0	1	1	18.21	18.21
257	h0	0.7	1	0.727	0.727	1	0.917	1.0	1	1	33.93	33.93
258	h0	0.7	1	0.727	0.727	1	0.917	1.0	1	1	33.93	33.93
259	h0	0.7	1	0.664	0.364	1	0.917	1.0	1	1	15.51	15.51
260	h0	0.69	1	0.723	1.0	1	1.0	0.968	1	1	48.29	48.29
261	h0	0.7	1	0.727	1.0	1	1.0	1.0	1	1	50.89	50.89
262	h0	0.7	1	0.727	1.0	1	1.0	1.0	1	1	50.89	50.89
263	h0	0.7	1	0.727	0.958	1	0.68	1.0	1	1	33.15	33.15
264	h0	0.952	1	1.0	0.727	1	0.75	1.0	1	1	51.91	51.91
265	h0	1.0	1	1.0	0.727	1	0.75	1.0	1	1	54.52	54.52
266	h0	1.0	1	1.0	0.727	1	0.75	1.0	1	1	54.52	54.52
267	h0	1.0	1	1.0	0.697	1	0.507	1.0	1	1	35.34	35.34
268	h0	0.7	1	0.727	0.727	1	0.75	0.968	1	1	26.86	26.86
269	h0	0.7	1	0.727	0.727	1	0.75	1.0	1	1	27.75	27.75
270	h0	0.7	1	0.727	0.727	1	0.75	1.0	1	1	27.75	27.75
271	h0	0.7	1	0.727	0.674	1	0.513	1.0	1	1	17.6	17.6
272	h0	0.529	1	0.628	0.75	1	0.723	0.929	1	1	16.74	16.74
273	h0	0.7	1	0.727	0.818	1	0.75	1.0	1	1	31.22	31.22
274	h0	0.7	1	0.727	0.818	1	0.75	0.929	1	1	29.0	29.0
275	h0	0.681	1	0.597	0.818	1	0.67	0.929	1	1	20.7	20.7
276	h0	0.952	1	0.87	0.958	1	0.96	0.929	1	1	70.76	70.76
277	h0	1.0	1	0.909	1.0	1	1.0	0.929	1	1	84.45	84.45
278	h0	1.0	1	0.909	1.0	1	1.0	0.929	1	1	84.45	84.45
279	h0	1.0	1	0.909	1.0	1	1.0	0.929	1	1	84.45	84.45
280	h0	0.667	1	0.87	0.697	1	0.8	0.929	1	1	30.06	30.06
281	h0	0.7	1	0.909	0.727	1	0.833	0.929	1	1	35.8	35.8
282	h0	0.7	1	0.909	0.727	1	0.833	0.929	1	1	35.8	35.8
283	h0	0.7	1	0.909	0.727	1	0.833	0.929	1	1	35.8	35.8
284	h0	0.571	1	0.696	0.697	1	0.72	0.929	1	1	18.53	21.64
285	h0	0.6	1	0.727	0.727	1	0.75	0.929	1	1	22.1	25.78
286	h0	0.6	1	0.727	0.727	1	0.75	0.929	1	1	22.1	25.78
287	h0	0.6	1	0.727	0.727	1	0.657	0.929	1	1	19.36	22.58
682	h1	0.667	1	0.913	0.583	1	0.72	0.929	1	1	23.75	23.75
683	h1	0.7	1	1.0	0.689	1	0.75	0.929	1	1	33.6	33.6
684	h1	0.7	1	0.87	0.545	1	0.483	0.929	1	1	14.89	14.89
685	h1	0.952	1	0.83	0.75	1	0.96	0.929	1	1	52.85	52.85
686	h1	1.0	1	0.909	0.769	1	1.0	0.929	1	1	64.94	64.94
687	h1	1.0	1	0.909	0.568	1	1.0	0.929	1	1	47.97	47.97
688	h1	0.952	1	0.664	0.75	1	0.72	0.899	1	1	30.69	30.69
689	h1	1.0	1	0.727	0.818	1	0.75	0.929	1	1	41.43	41.43
690	h1	1.0	1	0.715	0.818	1	0.75	0.929	1	1	40.75	40.75
691	h1	0.762	1	0.913	0.917	1	0.72	0.929	1	1	42.67	42.67
692	h1	0.757	1	1.0	1.0	1	0.75	0.929	1	1	52.74	52.74
693	h1	0.7	1	0.87	0.75	1	0.75	0.929	1	1	31.82	31.82
694	h1	0.571	1	0.664	0.083	1	0.96	0.899	1	1	2.72	2.72
695	h1	0.648	1	0.727	0.091	1	1.0	0.929	1	1	3.98	3.98
696	h1	0.7	1	0.632	0.068	1	0.6	0.929	1	1	1.68	1.68
712	h1	0.667	1	0.581	0.917	1	0.8	0.899	1	1	25.56	25.56
713	h1	0.7	1	0.636	1.0	1	0.833	0.929	1	1	34.45	34.45
714	h1	0.7	1	0.636	1.0	1	0.833	0.929	1	1	34.45	34.45
715	h1	0.7	1	0.636	1.0	1	0.733	0.929	1	1	30.32	30.32
716	h1	0.667	1	0.747	0.75	1	0.72	0.899	1	1	24.19	24.19
717	h1	0.7	1	0.818	0.818	1	0.75	0.929	1	1	32.63	32.63
718	h1	0.7	1	0.818	0.818	1	0.75	0.929	1	1	32.63	32.63
719	h1	0.7	1	0.818	0.818	1	0.73	0.929	1	1	31.76	31.76
720	h1	0.952	1	0.913	0.667	1	0.72	0.968	1	1	40.41	40.41
721	h1	1.0	1	1.0	0.727	1	0.75	1.0	1	1	54.52	54.52
722	h1	1.0	1	1.0	0.727	1	0.75	1.0	1	1	54.52	54.52
