ChipID	Half	Layer0	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Peff(%)	Peff_Original(%)
214	h0	0.667	0.955	0.0	0.697	0.698	0.72	0.929	1	1	0.0	19.84
215	h0	0.7	1.0	0.0	0.727	0.727	0.75	0.929	1	1	0.0	25.78
216	h0	0.7	0.955	0.0	0.515	0.695	0.45	0.929	1	1	0.0	8.26
217	h0	0.952	0.764	0.0	0.697	0.698	0.96	0.929	1	1	0.0	21.96
218	h0	1.0	0.755	0.0	0.727	0.727	1.0	0.929	1	1	0.0	26.95
219	h0	1.0	0.695	0.0	0.542	0.727	1.0	0.929	1	1	0.0	18.5
220	h0	0.952	0.859	0.783	0.871	0.698	0.72	0.899	1	1	25.2	25.2
221	h0	1.0	0.9	0.771	0.909	0.727	0.75	0.929	1	1	31.95	31.95
222	h0	1.0	0.9	0.727	0.909	0.727	0.75	0.929	1	1	30.13	30.13
223	h0	0.762	0.668	0.957	0.958	0.698	0.8	0.929	1	1	24.21	24.21
224	h0	0.757	0.7	1.0	1.0	0.727	0.833	0.929	1	1	29.81	29.81
225	h0	0.7	0.686	0.826	0.708	0.662	0.833	0.929	1	1	14.39	14.39
226	h0	0.571	0.859	0.609	0.174	0.873	0.96	0.857	1	1	3.73	3.73
227	h0	0.648	0.9	0.688	0.182	0.909	1.0	0.857	1	1	5.69	5.69
228	h0	0.7	0.859	0.601	0.129	0.582	0.6	0.857	1	1	1.4	1.4
244	h0	0.667	0.668	0.0	0.958	0.785	0.72	0.929	1	1	0.0	15.6
245	h0	0.7	0.7	0.0	1.0	0.818	0.75	0.929	1	1	0.0	20.3
246	h0	0.7	0.7	0.0	1.0	0.818	0.75	0.929	1	1	0.0	20.3
247	h0	0.7	0.7	0.0	1.0	0.72	0.63	0.929	1	1	0.0	15.01
248	h0	0.667	0.955	0.0	0.784	0.96	0.72	1.0	1	1	0.0	30.03
249	h0	0.7	1.0	0.0	0.818	1.0	0.75	1.0	1	1	0.0	39.04
250	h0	0.7	1.0	0.0	0.818	1.0	0.75	1.0	1	1	0.0	39.04
251	h0	0.7	1.0	0.0	0.818	1.0	0.71	0.929	1	1	0.0	30.89
252	h0	0.952	0.668	0.957	0.697	0.698	0.72	1.0	1	1	21.32	21.32
253	h0	1.0	0.7	1.0	0.727	0.727	0.75	1.0	1	1	27.75	27.75
254	h0	1.0	0.7	1.0	0.727	0.727	0.75	1.0	1	1	27.75	27.75
255	h0	1.0	0.7	1.0	0.727	0.727	0.75	1.0	1	1	27.75	27.75
256	h0	0.467	0.618	0.585	0.727	0.727	0.917	1.0	1	1	8.18	8.18
257	h0	0.7	0.7	0.727	0.727	0.818	0.917	1.0	1	1	19.43	19.43
258	h0	0.7	0.7	0.727	0.727	0.818	0.917	1.0	1	1	19.43	19.43
259	h0	0.7	0.591	0.664	0.364	0.818	0.917	1.0	1	1	7.5	7.5
260	h0	0.69	1.0	0.723	1.0	0.636	1.0	0.968	1	1	30.71	30.71
261	h0	0.7	1.0	0.727	1.0	0.636	1.0	1.0	1	1	32.37	32.37
262	h0	0.7	1.0	0.727	1.0	0.636	1.0	1.0	1	1	32.37	32.37
263	h0	0.7	1.0	0.727	0.958	0.458	0.68	1.0	1	1	15.18	15.18
264	h0	0.952	0.8	1.0	0.727	1.0	0.75	1.0	1	1	41.53	41.53
265	h0	1.0	0.8	1.0	0.727	1.0	0.75	1.0	1	1	43.62	43.62
266	h0	1.0	0.8	1.0	0.727	1.0	0.75	1.0	1	1	43.62	43.62
267	h0	1.0	0.8	1.0	0.697	0.76	0.507	1.0	1	1	21.49	21.49
