ChipID	Half	Layer0	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Peff(%)	Peff_Original(%)
332	h0	0.632	1	1	0.667	0.668	1	1.0	0.759	0.968	20.69	20.69
333	h0	0.667	1	1	0.7	0.7	1	1.0	0.769	1.0	25.13	25.13
334	h0	0.667	1	1	0.7	0.691	1	1.0	0.769	1.0	24.81	24.81
335	h0	0.947	1	1	0.952	0.764	1	0.846	0.743	0.968	41.91	41.91
336	h0	1.0	1	1	1.0	0.8	1	0.846	0.769	1.0	52.05	52.05
337	h0	1.0	1	1	1.0	0.8	1	0.846	0.769	1.0	52.05	52.05
338	h0	0.842	1	1	0.667	0.859	1	0.742	0.891	0.968	30.87	30.87
339	h0	0.889	1	1	0.7	0.9	1	0.846	0.923	1.0	43.73	43.73
340	h0	0.889	1	1	0.7	0.9	1	0.846	0.923	1.0	43.73	43.73
341	h0	0.947	1	1	0.952	0.668	1	1.0	0.966	1.0	58.18	58.18
342	h0	0.971	1	1	1.0	0.7	1	1.0	1.0	1.0	67.97	67.97
343	h0	0.889	1	1	1.0	0.682	1	1.0	1.0	1.0	60.63	60.63
356	h0	0.632	1	1	0.857	0.955	1	0.769	0.743	0.968	28.61	28.61
357	h0	0.667	1	1	0.9	1.0	1	0.769	0.769	1.0	35.5	35.5
358	h0	0.667	1	1	0.9	1.0	1	0.769	0.769	1.0	35.5	35.5
359	h0	0.667	1	1	0.8	1.0	1	0.725	0.316	1.0	12.22	12.22
360	h0	0.947	1	1	0.667	0.668	1	0.769	0.817	0.968	25.66	25.66
361	h0	1.0	1	1	0.7	0.7	1	0.769	0.846	1.0	31.88	31.88
362	h0	1.0	1	1	0.7	0.709	1	0.769	0.846	1.0	32.29	32.29
363	h0	1.0	1	1	0.7	0.8	1	0.769	0.846	1.0	36.43	36.43
364	h0	0.737	1	1	0.652	0.736	1	0.769	0.891	1.0	24.23	24.23
365	h0	1.0	1	1	0.7	0.8	1	0.769	0.923	1.0	39.75	39.75
366	h0	1.0	1	1	0.7	0.8	1	0.769	0.923	1.0	39.75	39.75
