ChipID	Half	Layer0	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Peff(%)
344	h0	0.952	0.573	0.435	0.958	1	1	0.214	0.733	0.188	0.0
345	h0	1.0	0.655	0.455	1.0	1	1	0.214	0.733	0.188	0.0
346	h0	1.0	0.668	0.375	0.708	1	1	0.214	0.75	0.123	0.0
347	h0	0.667	0.955	0.696	0.784	1	1	0.786	0.8	0.812	15.53
348	h0	0.7	0.95	0.727	0.818	1	1	0.786	0.8	0.812	17.67
349	h0	0.7	0.859	0.601	0.58	1	1	0.786	0.75	0.534	3.53
350	h0	0.952	0.668	0.696	0.871	1	1	0.786	0.8	0.75	15.91
351	h0	1.0	0.7	0.783	0.909	1	1	0.786	0.8	0.688	18.86
352	h0	1.0	0.668	0.676	0.644	1	1	0.786	0.75	0.493	4.52
353	h0	0.571	0.477	0.957	0.0	1	1	0.714	0.0	0.0	0.0
354	h0	0.648	0.5	1.0	0.0	1	1	0.714	0.0	0.0	0.0
355	h0	0.7	0.477	0.826	0.0	1	1	0.714	0.0	0.0	0.0
392	h0	0.762	0.955	0.957	0.697	1	1	0.786	0.8	0.812	20.12
393	h0	0.8	1.0	1.0	0.727	1	1	0.786	0.8	0.812	24.11
394	h0	0.8	1.0	1.0	0.621	1	1	0.786	0.75	0.705	10.76
395	h0	0.8	1.0	1.0	0.364	1	1	0.251	0.0	0.271	0.0
396	h0	0.952	0.668	0.696	0.697	1	1	0.786	0.867	0.812	13.86
397	h0	1.0	0.7	0.727	0.727	1	1	0.786	0.867	0.812	16.62
398	h0	1.0	0.7	0.727	0.727	1	1	0.786	0.867	0.812	16.62
399	h0	1.0	0.7	0.727	0.727	1	1	0.786	0.785	0.441	4.09
400	h0	1.0	0.655	0.818	0.727	1	1	0.772	0.933	0.875	19.93
401	h0	1.0	0.7	0.818	0.727	1	1	0.786	0.933	0.875	21.69
402	h0	1.0	0.7	0.818	0.727	1	1	0.786	0.933	0.875	21.69
403	h0	1.0	0.6	0.818	0.424	1	1	0.62	0.671	0.3	0.84
404	h0	0.7	0.7	0.727	0.818	1	1	0.786	0.933	0.812	14.09
405	h0	0.7	0.7	0.727	0.818	1	1	0.786	0.933	0.812	14.09
406	h0	0.7	0.7	0.727	0.818	1	1	0.786	0.933	0.812	14.09
407	h0	0.7	0.7	0.704	0.614	1	1	0.668	0.7	0.305	0.89
408	h0	0.8	1.0	0.727	1.0	1	1	0.786	0.933	0.812	30.3
409	h0	0.8	1.0	0.727	1.0	1	1	0.786	0.933	0.812	30.3
410	h0	0.8	1.0	0.727	1.0	1	1	0.786	0.933	0.812	30.3
411	h0	0.8	1.0	0.727	0.792	1	1	0.705	0.7	0.348	2.5
412	h0	1.0	0.7	1.0	0.727	1	1	0.786	0.933	0.812	24.61
413	h0	1.0	0.7	1.0	0.727	1	1	0.786	0.933	0.812	24.61
414	h0	1.0	0.7	1.0	0.727	1	1	0.786	0.933	0.812	24.61
415	h0	1.0	0.7	1.0	0.545	1	1	0.668	0.671	0.286	1.34
416	h0	0.652	0.645	0.711	0.708	1	1	0.786	0.933	0.804	10.14
417	h0	0.7	0.7	0.727	0.727	1	1	0.786	0.933	0.812	12.52
418	h0	0.7	0.7	0.727	0.727	1	1	0.786	0.933	0.812	12.52
419	h0	0.541	0.664	0.368	0.534	1	1	0.634	0.642	0.493	0.51
420	h0	0.667	0.668	0.783	0.697	1	1	0.786	0.867	0.875	11.77
421	h0	0.7	0.7	0.818	0.727	1	1	0.786	0.867	0.875	14.11
422	h0	0.7	0.7	0.818	0.727	1	1	0.786	0.867	0.875	14.11
423	h0	0.7	0.7	0.818	0.727	1	1	0.652	0.785	0.475	2.88
424	h0	0.762	0.955	0.783	0.697	1	1	0.786	0.8	0.875	17.74
425	h0	0.8	1.0	0.767	0.727	1	1	0.786	0.8	0.875	19.93
426	h0	0.8	1.0	0.664	0.674	1	1	0.786	0.75	0.575	6.03
427	h0	0.8	1.0	0.364	0.455	1	1	0.051	0.0	0.0	0.0
448	h0	0.667	0.764	0.696	0.958	1	1	0.786	0.867	0.812	15.27
449	h0	0.7	0.8	0.727	1.0	1	1	0.786	0.867	0.812	18.29
450	h0	0.7	0.8	0.727	1.0	1	1	0.786	0.867	0.812	18.29
451	h0	0.7	0.8	0.727	1.0	1	1	0.786	0.785	0.784	11.7
452	h0	0.35	0.364	0.19	0.083	1	1	0.025	0.0	0.321	0.0
453	h0	0.762	0.955	0.957	0.697	1	1	0.668	0.867	0.875	19.97
454	h0	0.8	1.0	1.0	0.727	1	1	0.786	0.867	0.875	28.16
455	h0	0.8	1.0	1.0	0.727	1	1	0.786	0.867	0.875	28.16
456	h0	0.8	1.0	1.0	0.727	1	1	0.786	0.785	0.875	25.5
457	h0	0.4	0.455	0.261	0.061	1	1	0.175	0.0	0.375	0.0
458	h0	0.762	0.955	0.696	0.784	1	1	0.786	0.867	0.812	17.84
459	h0	0.8	1.0	0.727	0.818	1	1	0.786	0.867	0.812	21.38
460	h0	0.8	1.0	0.727	0.818	1	1	0.786	0.867	0.812	21.38
461	h0	0.8	1.0	0.727	0.818	1	1	0.786	0.785	0.812	19.35
462	h0	0.4	0.455	0.19	0.068	1	1	0.051	0.0	0.348	0.0
463	h0	0.952	0.668	0.957	0.958	1	1	0.786	0.867	0.812	26.2
464	h0	1.0	0.7	1.0	1.0	1	1	0.786	0.867	0.812	31.45
465	h0	1.0	0.7	1.0	1.0	1	1	0.786	0.867	0.812	31.45
466	h0	1.0	0.7	1.0	1.0	1	1	0.786	0.785	0.47	11.41
467	h0	0.5	0.318	0.261	0.083	1	1	0.051	0.0	0.027	0.0
812	h1	0.952	0.668	0.522	0.917	1	1	0.214	0.8	0.25	0.0
813	h1	1.0	0.7	0.545	1.0	1	1	0.214	0.8	0.25	0.0
814	h1	1.0	0.668	0.474	0.75	1	1	0.214	0.75	0.164	0.0
815	h1	0.667	0.859	0.747	0.667	1	1	0.786	0.775	0.812	12.02
816	h1	0.7	0.9	0.818	0.784	1	1	0.786	0.867	0.812	19.56
817	h1	0.7	0.859	0.735	0.614	1	1	0.786	0.812	0.557	5.39
818	h1	0.952	0.764	0.696	0.833	1	1	0.783	0.71	0.688	13.73
819	h1	1.0	0.8	0.727	0.909	1	1	0.786	0.733	0.688	18.34
820	h1	1.0	0.764	0.632	0.682	1	1	0.786	0.688	0.471	4.69
821	h1	0.571	0.477	0.957	0.0	1	1	0.714	0.0	0.0	0.0
822	h1	0.648	0.5	1.0	0.0	1	1	0.714	0.0	0.0	0.0
823	h1	0.7	0.477	0.87	0.0	1	1	0.714	0.0	0.0	0.0
860	h1	0.667	0.955	0.957	0.75	1	1	0.779	0.84	0.812	19.19
861	h1	0.7	1.0	1.0	0.765	1	1	0.786	0.867	0.812	24.06
862	h1	0.7	1.0	1.0	0.659	1	1	0.786	0.812	0.705	11.25
863	h1	0.7	1.0	1.0	0.455	1	1	0.251	0.0	0.286	0.0
864	h1	0.952	0.668	0.696	0.667	1	1	0.76	0.84	0.812	12.09
865	h1	1.0	0.655	0.727	0.727	1	1	0.786	0.867	0.812	15.55
866	h1	1.0	0.609	0.727	0.727	1	1	0.786	0.867	0.812	14.46
867	h1	1.0	0.7	0.727	0.727	1	1	0.786	0.785	0.441	4.32
868	h1	1.0	0.655	0.909	0.712	1	1	0.765	0.933	0.812	19.95
869	h1	1.0	0.7	0.909	0.727	1	1	0.786	0.933	0.812	22.37
870	h1	1.0	0.7	0.909	0.727	1	1	0.786	0.933	0.812	22.37
871	h1	1.0	0.609	0.909	0.439	1	1	0.62	0.671	0.279	0.97
872	h1	0.7	0.7	0.727	0.727	1	1	0.786	0.933	0.812	12.52
873	h1	0.7	0.7	0.727	0.727	1	1	0.786	0.933	0.812	12.52
874	h1	0.7	0.7	0.727	0.727	1	1	0.786	0.933	0.812	12.52
875	h1	0.7	0.7	0.715	0.576	1	1	0.668	0.7	0.309	0.92
