ChipID	Half	Layer0	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Peff(%)
344	h0	0.76	0.857	0.952	0.668	0.696	0.957	0.857	0.786	0.867	6.44
345	h0	0.8	0.943	1.0	0.7	0.727	1.0	0.857	0.786	0.867	8.97
346	h0	0.8	1.0	1.0	0.636	0.664	0.783	0.857	0.786	0.735	4.28
347	h0	0.95	0.762	0.667	0.955	0.783	0.87	0.786	0.786	0.933	14.48
348	h0	1.0	0.762	0.7	1.0	0.818	0.909	0.786	0.786	0.933	18.29
349	h0	1.0	0.7	0.7	0.909	0.818	0.909	0.786	0.786	0.792	10.61
350	h0	0.76	0.667	0.952	0.764	0.696	0.957	0.786	0.786	0.8	9.71
351	h0	0.765	0.7	1.0	0.9	0.727	1.0	0.786	0.786	0.8	13.85
352	h0	0.7	0.7	1.0	0.818	0.727	1.0	0.786	0.786	0.679	8.01
353	h0	0.76	0.952	0.571	0.382	0.957	0.783	0.786	0.286	0.2	0.21
354	h0	0.84	1.0	0.648	0.4	1.0	0.818	0.786	0.286	0.2	0.32
355	h0	0.9	1.0	0.7	0.364	0.826	0.64	0.786	0.286	0.17	0.15
392	h0	0.665	0.952	0.667	0.859	0.957	0.696	0.786	0.786	0.933	11.14
393	h0	0.7	1.0	0.7	0.9	1.0	0.727	0.786	0.786	0.933	14.78
394	h0	0.7	1.0	0.7	0.9	1.0	0.727	0.786	0.786	0.933	14.12
395	h0	0.7	1.0	0.7	0.9	1.0	0.727	0.682	0.25	0.735	1.83
396	h0	0.95	0.762	0.952	0.668	0.696	0.696	0.786	0.786	0.867	9.56
397	h0	1.0	0.8	1.0	0.7	0.727	0.727	0.786	0.786	0.867	12.68
398	h0	1.0	0.8	1.0	0.7	0.747	0.727	0.786	0.786	0.867	13.03
399	h0	1.0	0.8	1.0	0.7	0.818	0.727	0.786	0.786	0.683	8.52
400	h0	0.9	0.614	1.0	0.655	0.909	0.727	0.736	0.929	0.79	11.2
401	h0	1.0	0.7	1.0	0.7	0.909	0.727	0.786	0.857	0.8	15.13
402	h0	1.0	0.7	1.0	0.7	0.909	0.727	0.786	0.857	0.8	15.13
403	h0	1.0	0.681	1.0	0.591	0.909	0.727	0.786	0.857	0.529	5.72
404	h0	0.7	0.7	0.7	0.7	0.636	0.818	0.786	0.929	0.8	6.81
405	h0	0.7	0.7	0.7	0.7	0.636	0.818	0.786	0.929	0.8	6.81
406	h0	0.7	0.7	0.7	0.7	0.636	0.818	0.786	0.929	0.8	6.81
407	h0	0.7	0.7	0.7	0.7	0.593	0.711	0.786	0.929	0.566	2.72
408	h0	0.8	1.0	0.8	1.0	0.818	1.0	0.786	1.0	0.8	30.71
409	h0	0.8	1.0	0.8	1.0	0.818	1.0	0.786	1.0	0.8	30.71
410	h0	0.8	1.0	0.8	1.0	0.818	1.0	0.786	1.0	0.8	30.71
411	h0	0.8	1.0	0.8	1.0	0.779	0.87	0.786	1.0	0.606	13.45
412	h0	0.9	0.7	1.0	0.7	1.0	0.727	0.786	0.929	0.8	16.24
413	h0	0.9	0.7	1.0	0.7	1.0	0.727	0.786	0.929	0.8	16.24
414	h0	0.9	0.7	1.0	0.7	1.0	0.727	0.786	0.929	0.8	16.24
415	h0	0.9	0.7	1.0	0.7	0.957	0.609	0.786	0.929	0.566	6.42
416	h0	0.58	0.729	0.652	0.645	0.636	0.708	0.857	0.857	0.752	3.54
417	h0	0.7	0.8	0.7	0.7	0.636	0.727	0.857	0.857	0.8	5.96
418	h0	0.7	0.8	0.7	0.7	0.636	0.727	0.857	0.857	0.8	5.96
419	h0	0.7	0.8	0.581	0.659	0.636	0.727	0.857	0.857	0.723	2.94
420	h0	0.665	0.952	0.667	0.668	0.87	0.696	0.857	0.786	0.8	7.36
421	h0	0.7	1.0	0.7	0.7	0.909	0.727	0.857	0.786	0.8	9.77
422	h0	0.7	1.0	0.7	0.7	0.909	0.727	0.857	0.786	0.8	9.77
423	h0	0.7	1.0	0.7	0.7	0.909	0.727	0.857	0.786	0.63	5.83
424	h0	0.95	0.762	0.762	0.955	0.696	0.696	0.786	0.786	0.8	10.09
425	h0	1.0	0.8	0.8	1.0	0.727	0.727	0.786	0.786	0.8	13.37
426	h0	1.0	0.8	0.8	1.0	0.727	0.727	0.786	0.786	0.719	11.3
427	h0	1.0	0.8	0.8	1.0	0.727	0.727	0.217	0.25	0.21	0.16
448	h0	0.76	0.667	0.667	0.764	0.696	0.957	0.786	0.786	0.8	6.8
449	h0	0.8	0.7	0.7	0.8	0.727	1.0	0.786	0.786	0.8	9.01
450	h0	0.8	0.7	0.7	0.8	0.708	1.0	0.786	0.786	0.8	8.78
451	h0	0.8	0.7	0.7	0.8	0.636	1.0	0.786	0.786	0.8	7.73
452	h0	0.68	0.5	0.4	0.327	0.711	1.0	0.271	0.157	0.657	0.05
453	h0	0.575	0.952	0.762	0.955	0.957	0.783	0.534	0.857	0.8	8.74
454	h0	0.7	1.0	0.8	1.0	1.0	0.818	0.786	0.857	0.8	19.75
455	h0	0.7	1.0	0.8	1.0	1.0	0.818	0.786	0.857	0.8	19.75
456	h0	0.7	1.0	0.8	1.0	1.0	0.818	0.786	0.857	0.8	19.75
457	h0	0.61	0.714	0.457	0.409	1.0	0.818	0.537	0.2	0.606	0.24
458	h0	0.95	0.857	0.762	0.955	0.783	0.87	0.929	0.857	0.8	20.56
459	h0	1.0	0.9	0.8	1.0	0.818	0.909	0.929	0.786	0.8	25.02
460	h0	1.0	0.9	0.8	1.0	0.818	0.909	0.929	0.786	0.8	25.02
461	h0	1.0	0.9	0.8	1.0	0.818	0.909	0.929	0.786	0.8	25.02
462	h0	0.85	0.643	0.457	0.409	0.818	0.909	0.32	0.2	0.606	0.16
463	h0	0.665	0.667	0.952	0.668	0.87	0.957	0.929	0.786	0.8	10.98
464	h0	0.7	0.7	1.0	0.7	0.818	1.0	1.0	0.786	0.8	14.11
465	h0	0.7	0.7	1.0	0.7	0.818	1.0	1.0	0.786	0.8	14.11
466	h0	0.7	0.7	1.0	0.7	0.818	1.0	1.0	0.786	0.715	12.11
467	h0	0.595	0.5	0.571	0.286	0.818	1.0	0.345	0.183	0.303	0.04
812	h1	0.665	0.905	0.952	0.573	0.696	0.87	0.929	0.776	0.905	6.06
813	h1	0.7	1.0	1.0	0.655	0.727	0.909	0.929	0.786	0.933	9.64
814	h1	0.7	1.0	1.0	0.668	0.68	0.711	0.929	0.786	0.82	5.17
815	h1	0.95	0.633	0.762	0.955	0.696	0.87	0.769	0.76	0.905	11.21
816	h1	1.0	0.7	0.8	1.0	0.727	0.909	0.857	0.786	0.933	18.61
817	h1	1.0	0.7	0.8	0.955	0.727	0.909	0.857	0.786	0.82	12.79
818	h1	0.76	0.633	0.952	0.764	0.696	0.957	0.767	0.76	0.776	8.43
819	h1	0.77	0.7	1.0	0.9	0.727	1.0	0.786	0.786	0.8	13.94
820	h1	0.7	0.7	1.0	0.859	0.711	1.0	0.786	0.786	0.703	8.51
821	h1	0.665	0.905	0.667	0.382	0.957	0.87	0.748	0.207	0.129	0.1
822	h1	0.735	1.0	0.7	0.4	1.0	0.909	0.786	0.214	0.133	0.14
823	h1	0.8	1.0	0.7	0.382	0.826	0.711	0.786	0.214	0.117	0.07
860	h1	0.665	0.814	0.571	0.859	0.957	0.696	0.745	0.76	0.905	7.25
861	h1	0.7	0.9	0.6	0.9	1.0	0.727	0.786	0.786	0.933	11.4
862	h1	0.7	0.9	0.6	0.9	1.0	0.727	0.786	0.786	0.933	10.89
863	h1	0.7	0.9	0.6	0.9	1.0	0.727	0.734	0.271	0.764	1.71
864	h1	0.855	0.814	0.952	0.668	0.696	0.696	0.759	0.76	0.84	8.31
865	h1	0.9	0.867	1.0	0.7	0.727	0.727	0.786	0.786	0.867	12.37
866	h1	0.9	0.8	1.0	0.7	0.727	0.727	0.786	0.786	0.867	11.41
867	h1	0.9	0.881	1.0	0.7	0.727	0.727	0.786	0.786	0.709	7.79
868	h1	0.9	0.567	1.0	0.655	0.909	0.727	0.724	0.857	0.78	9.27
869	h1	1.0	0.7	1.0	0.7	0.909	0.727	0.786	0.857	0.8	15.13
870	h1	1.0	0.7	1.0	0.7	0.909	0.727	0.786	0.857	0.8	15.13
871	h1	1.0	0.7	1.0	0.591	0.909	0.727	0.786	0.857	0.549	6.11
872	h1	0.7	0.7	0.7	0.7	0.727	0.727	0.786	0.929	0.8	6.92
873	h1	0.7	0.7	0.7	0.7	0.727	0.727	0.786	0.929	0.8	6.92
874	h1	0.7	0.7	0.7	0.7	0.727	0.727	0.786	0.929	0.8	6.92
875	h1	0.7	0.7	0.7	0.7	0.704	0.632	0.786	0.929	0.59	3.0
876	h1	0.7	1.0	0.7	1.0	0.727	1.0	0.786	1.0	0.8	20.9
877	h1	0.7	1.0	0.7	1.0	0.727	1.0	0.786	1.0	0.8	20.9
878	h1	0.7	1.0	0.7	1.0	0.727	1.0	0.786	1.0	0.8	20.9
879	h1	0.7	1.0	0.7	1.0	0.696	0.87	0.786	0.929	0.6	8.46
880	h1	1.0	0.69	1.0	0.7	1.0	0.727	0.786	1.0	0.8	19.14
881	h1	1.0	0.7	1.0	0.7	1.0	0.727	0.786	1.0	0.8	19.42
882	h1	1.0	0.7	1.0	0.7	1.0	0.727	0.786	1.0	0.8	19.42
883	h1	1.0	0.7	1.0	0.7	1.0	0.601	0.786	1.0	0.574	8.02
884	h1	0.61	0.61	0.652	0.645	0.727	0.708	0.786	0.929	0.758	3.57
885	h1	0.7	0.8	0.7	0.7	0.727	0.727	0.786	0.929	0.8	6.78
886	h1	0.7	0.8	0.7	0.7	0.727	0.727	0.786	0.929	0.8	6.78
887	h1	0.7	0.8	0.581	0.659	0.727	0.727	0.786	0.929	0.723	3.34
888	h1	0.665	0.814	0.667	0.668	0.87	0.696	0.923	0.76	0.776	6.36
889	h1	0.7	0.9	0.7	0.7	0.909	0.727	0.929	0.786	0.8	9.53
890	h1	0.7	0.9	0.7	0.7	0.909	0.727	0.929	0.786	0.8	9.53
891	h1	0.7	0.9	0.7	0.7	0.909	0.727	0.929	0.786	0.655	5.91
892	h1	0.95	0.724	0.762	0.955	0.696	0.696	0.817	0.76	0.776	9.35
893	h1	1.0	0.8	0.8	1.0	0.727	0.727	0.857	0.786	0.8	14.58
894	h1	1.0	0.8	0.8	1.0	0.727	0.727	0.857	0.786	0.735	12.59
895	h1	1.0	0.8	0.8	1.0	0.727	0.727	0.236	0.214	0.218	0.13
916	h1	0.76	0.633	0.667	0.764	0.783	0.957	0.759	0.76	0.776	6.58
917	h1	0.8	0.738	0.7	0.8	0.771	1.0	0.786	0.786	0.8	10.08
