ChipID	Half	Layer0	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Peff(%)
214	h0	0.957	1	1	0.88	0.801	0.802	0.4	1	1	21.64
215	h0	1.0	1	1	0.917	0.75	0.833	0.4	1	1	22.92
216	h0	0.826	1	1	0.513	0.346	0.34	0.318	1	1	1.59
217	h0	0.696	1	1	0.96	0.962	0.722	0.8	1	1	37.13
218	h0	0.727	1	1	1.0	1.0	0.75	0.8	1	1	43.62
219	h0	0.727	1	1	0.56	1.0	0.651	0.635	1	1	16.83
220	h0	0.783	1	1	0.72	0.962	0.722	0.8	1	1	31.33
221	h0	0.767	1	1	0.75	1.0	0.75	0.8	1	1	34.52
222	h0	0.711	1	1	0.603	1.0	0.75	0.635	1	1	20.42
223	h0	0.957	1	1	0.64	0.801	0.722	0.8	1	1	28.34
224	h0	1.0	1	1	0.667	0.833	0.75	0.8	1	1	33.34
225	h0	0.826	1	1	0.373	0.385	0.404	0.635	1	1	3.04
226	h0	0.696	1	1	0.0	0.16	0.401	0.4	1	1	0.0
227	h0	0.727	1	1	0.0	0.167	0.417	0.4	1	1	0.0
228	h0	0.601	1	1	0.0	0.077	0.17	0.318	1	1	0.0
244	h0	0.696	1	1	0.72	0.881	0.722	0.8	1	1	25.5
245	h0	0.727	1	1	0.75	0.917	0.75	0.8	1	1	30.0
246	h0	0.727	1	1	0.713	0.917	0.75	0.745	1	1	26.56
247	h0	0.727	1	1	0.533	0.599	0.417	0.392	1	1	3.79
248	h0	0.87	1	1	0.72	0.721	0.722	0.8	1	1	26.09
249	h0	0.909	1	1	0.75	0.75	0.75	0.8	1	1	30.68
250	h0	0.909	1	1	0.75	0.798	0.75	0.8	1	1	32.64
251	h0	0.909	1	1	0.6	0.776	0.491	0.588	1	1	12.22
252	h0	0.87	1	1	0.72	0.721	0.802	0.8	1	1	28.98
253	h0	0.909	1	1	0.75	0.75	0.833	0.8	1	1	34.07
254	h0	0.909	1	1	0.75	0.705	0.833	0.8	1	1	32.03
255	h0	0.909	1	1	0.6	0.699	0.833	0.588	1	1	18.67
256	h0	0.609	1	1	0.917	0.795	1.0	0.8	1	1	35.52
257	h0	0.727	1	1	0.917	0.833	1.0	0.8	1	1	44.43
258	h0	0.727	1	1	0.917	0.833	1.0	0.8	1	1	44.43
259	h0	0.621	1	1	0.22	0.785	1.0	0.565	1	1	6.06
260	h0	0.727	1	1	0.917	0.75	0.917	0.867	1	1	39.75
261	h0	0.727	1	1	0.917	0.75	0.917	0.867	1	1	39.75
262	h0	0.727	1	1	0.917	0.75	0.917	0.867	1	1	39.75
263	h0	0.727	1	1	0.587	0.317	0.34	0.586	1	1	2.7
264	h0	1.0	1	1	0.75	1.0	0.75	0.933	1	1	52.48
265	h0	1.0	1	1	0.75	1.0	0.75	0.933	1	1	52.48
266	h0	1.0	1	1	0.75	1.0	0.75	0.933	1	1	52.48
267	h0	1.0	1	1	0.447	0.423	0.247	0.631	1	1	2.95
268	h0	0.727	1	1	0.75	0.917	0.75	0.933	1	1	34.99
269	h0	0.727	1	1	0.75	0.917	0.75	0.933	1	1	34.99
270	h0	0.727	1	1	0.75	0.917	0.75	0.933	1	1	34.99
271	h0	0.727	1	1	0.447	0.388	0.241	0.604	1	1	1.84
272	h0	0.628	1	1	0.723	0.66	0.75	0.867	1	1	19.49
273	h0	0.727	1	1	0.75	0.667	0.75	0.867	1	1	23.65
274	h0	0.727	1	1	0.75	0.667	0.75	0.867	1	1	23.65
275	h0	0.585	1	1	0.567	0.641	0.519	0.586	1	1	6.47
276	h0	0.87	1	1	0.88	0.801	0.722	0.8	1	1	35.42
277	h0	0.909	1	1	0.917	0.833	0.75	0.8	1	1	41.66
278	h0	0.909	1	1	0.917	0.833	0.75	0.8	1	1	41.66
279	h0	0.909	1	1	0.733	0.833	0.75	0.588	1	1	24.48
280	h0	0.957	1	1	0.88	0.641	0.883	0.8	1	1	38.13
281	h0	1.0	1	1	0.917	0.667	0.917	0.8	1	1	44.87
282	h0	1.0	1	1	0.917	0.667	0.917	0.8	1	1	44.87
283	h0	1.0	1	1	0.733	0.609	0.917	0.588	1	1	24.07
284	h0	0.696	1	1	0.72	0.801	0.963	0.794	1	1	30.69
285	h0	0.727	1	1	0.75	0.833	1.0	0.8	1	1	36.34
286	h0	0.727	1	1	0.75	0.833	1.0	0.759	1	1	34.47
287	h0	0.727	1	1	0.6	0.545	0.556	0.441	1	1	5.83
682	h1	0.957	1	1	0.8	0.721	0.802	0.4	1	1	17.71
683	h1	1.0	1	1	0.833	0.75	0.833	0.4	1	1	20.82
684	h1	0.826	1	1	0.467	0.346	0.37	0.329	1	1	1.62
685	h1	0.696	1	1	0.88	0.962	0.722	0.8	1	1	34.03
686	h1	0.727	1	1	0.977	1.0	0.75	0.8	1	1	42.62
687	h1	0.727	1	1	0.56	1.0	0.657	0.659	1	1	17.63
688	h1	0.783	1	1	0.72	0.962	0.802	0.784	1	1	34.1
