ChipID	Half	Layer0	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Peff(%)
344	h0	0.76	0.857	1	1	1	0.957	0.857	0.786	1	16.79
345	h0	0.8	0.943	1	1	1	1.0	0.857	0.786	1	20.33
346	h0	0.8	1.0	1	1	1	0.783	0.857	0.786	1	13.8
347	h0	0.95	0.762	1	1	1	0.87	0.786	0.786	1	31.13
348	h0	1.0	0.762	1	1	1	0.909	0.786	0.786	1	34.23
349	h0	1.0	0.7	1	1	1	0.909	0.786	0.786	1	25.75
350	h0	0.76	0.667	1	1	1	0.957	0.786	0.786	1	23.98
351	h0	0.765	0.7	1	1	1	1.0	0.786	0.786	1	26.47
352	h0	0.7	0.7	1	1	1	1.0	0.786	0.786	1	19.83
353	h0	0.76	0.952	1	1	1	0.783	0.786	0.286	1	5.09
354	h0	0.84	1.0	1	1	1	0.818	0.786	0.286	1	6.18
355	h0	0.9	1.0	1	1	1	0.64	0.786	0.286	1	4.23
392	h0	0.665	0.952	1	1	1	0.696	0.786	0.786	1	21.78
393	h0	0.7	1.0	1	1	1	0.727	0.786	0.786	1	25.15
394	h0	0.7	1.0	1	1	1	0.727	0.786	0.786	1	24.02
395	h0	0.7	1.0	1	1	1	0.727	0.682	0.25	1	3.95
396	h0	0.95	0.762	1	1	1	0.696	0.786	0.786	1	24.9
397	h0	1.0	0.8	1	1	1	0.727	0.786	0.786	1	28.74
398	h0	1.0	0.8	1	1	1	0.727	0.786	0.786	1	28.74
399	h0	1.0	0.8	1	1	1	0.727	0.786	0.786	1	21.77
400	h0	0.9	0.614	1	1	1	0.727	0.736	0.929	1	23.82
401	h0	1.0	0.7	1	1	1	0.727	0.786	0.857	1	29.72
402	h0	1.0	0.7	1	1	1	0.727	0.786	0.857	1	29.72
403	h0	1.0	0.681	1	1	1	0.727	0.786	0.857	1	20.14
404	h0	0.7	0.7	1	1	1	0.818	0.786	0.929	1	27.31
405	h0	0.7	0.7	1	1	1	0.818	0.786	0.929	1	27.31
406	h0	0.7	0.7	1	1	1	0.818	0.786	0.929	1	27.31
407	h0	0.7	0.7	1	1	1	0.711	0.786	0.929	1	16.56
408	h0	0.8	1.0	1	1	1	1.0	0.786	1.0	1	58.67
409	h0	0.8	1.0	1	1	1	1.0	0.786	1.0	1	58.67
410	h0	0.8	1.0	1	1	1	1.0	0.786	1.0	1	58.67
411	h0	0.8	1.0	1	1	1	0.87	0.786	1.0	1	35.61
412	h0	0.9	0.7	1	1	1	0.727	0.786	0.929	1	29.0
413	h0	0.9	0.7	1	1	1	0.727	0.786	0.929	1	29.0
414	h0	0.9	0.7	1	1	1	0.727	0.786	0.929	1	29.0
415	h0	0.9	0.7	1	1	1	0.609	0.786	0.929	1	16.92
416	h0	0.58	0.729	1	1	1	0.708	0.857	0.857	1	17.59
417	h0	0.7	0.8	1	1	1	0.727	0.857	0.857	1	23.92
418	h0	0.7	0.8	1	1	1	0.727	0.857	0.857	1	23.92
419	h0	0.7	0.8	1	1	1	0.727	0.857	0.857	1	16.68
420	h0	0.665	0.952	1	1	1	0.696	0.857	0.786	1	23.74
421	h0	0.7	1.0	1	1	1	0.727	0.857	0.786	1	27.42
422	h0	0.7	1.0	1	1	1	0.727	0.857	0.786	1	27.42
423	h0	0.7	1.0	1	1	1	0.727	0.857	0.786	1	20.77
424	h0	0.95	0.762	1	1	1	0.696	0.786	0.786	1	24.9
425	h0	1.0	0.8	1	1	1	0.727	0.786	0.786	1	28.74
426	h0	1.0	0.8	1	1	1	0.727	0.786	0.786	1	27.02
427	h0	1.0	0.8	1	1	1	0.727	0.217	0.25	1	1.27
448	h0	0.76	0.667	1	1	1	0.957	0.786	0.786	1	23.98
449	h0	0.8	0.7	1	1	1	1.0	0.786	0.786	1	27.68
450	h0	0.8	0.7	1	1	1	1.0	0.786	0.786	1	27.68
451	h0	0.8	0.7	1	1	1	1.0	0.786	0.786	1	27.12
452	h0	0.68	0.5	1	1	1	1.0	0.271	0.157	1	0.74
453	h0	0.575	0.952	1	1	1	0.783	0.534	0.857	1	15.69
454	h0	0.7	1.0	1	1	1	0.818	0.786	0.857	1	30.86
455	h0	0.7	1.0	1	1	1	0.818	0.786	0.857	1	30.86
456	h0	0.7	1.0	1	1	1	0.818	0.786	0.857	1	30.86
457	h0	0.61	0.714	1	1	1	0.818	0.537	0.2	1	2.14
458	h0	0.95	0.857	1	1	1	0.87	0.929	0.857	1	45.11
459	h0	1.0	0.9	1	1	1	0.909	0.929	0.786	1	47.79
460	h0	1.0	0.9	1	1	1	0.909	0.929	0.786	1	47.79
461	h0	1.0	0.9	1	1	1	0.909	0.929	0.786	1	47.79
462	h0	0.85	0.643	1	1	1	0.909	0.32	0.2	1	1.77
463	h0	0.665	0.667	1	1	1	0.957	0.929	0.786	1	24.8
464	h0	0.7	0.7	1	1	1	1.0	1.0	0.786	1	30.81
465	h0	0.7	0.7	1	1	1	1.0	1.0	0.786	1	30.81
466	h0	0.7	0.7	1	1	1	1.0	1.0	0.786	1	29.58
467	h0	0.595	0.5	1	1	1	1.0	0.345	0.183	1	0.87
812	h1	0.665	0.905	1	1	1	0.87	0.929	0.776	1	17.63
813	h1	0.7	1.0	1	1	1	0.909	0.929	0.786	1	21.7
814	h1	0.7	1.0	1	1	1	0.711	0.929	0.786	1	13.88
815	h1	0.95	0.633	1	1	1	0.87	0.769	0.76	1	24.46
816	h1	1.0	0.7	1	1	1	0.909	0.857	0.786	1	34.29
817	h1	1.0	0.7	1	1	1	0.909	0.857	0.786	1	28.07
818	h1	0.76	0.633	1	1	1	0.957	0.767	0.76	1	21.47
819	h1	0.77	0.7	1	1	1	1.0	0.786	0.786	1	26.64
820	h1	0.7	0.7	1	1	1	1.0	0.786	0.786	1	19.83
