ChipID	Half	Layer0	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Peff(%)
344	h0	1	0.857	0.952	0.668	0.696	0.957	1	1	0.867	12.59
345	h0	1	0.943	1.0	0.7	0.727	1.0	1	1	0.867	16.64
346	h0	1	1.0	1.0	0.636	0.664	0.783	1	1	0.735	7.95
347	h0	1	0.762	0.667	0.955	0.783	0.87	1	1	0.933	24.68
348	h0	1	0.762	0.7	1.0	0.818	0.909	1	1	0.933	29.6
349	h0	1	0.7	0.7	0.909	0.818	0.909	1	1	0.792	17.18
350	h0	1	0.667	0.952	0.764	0.696	0.957	1	1	0.8	20.68
351	h0	1	0.7	1.0	0.9	0.727	1.0	1	1	0.8	29.31
352	h0	1	0.7	1.0	0.818	0.727	1.0	1	1	0.679	18.51
353	h0	1	0.952	0.571	0.382	0.957	0.783	1	1	0.2	1.24
354	h0	1	1.0	0.648	0.4	1.0	0.818	1	1	0.2	1.7
355	h0	1	1.0	0.7	0.364	0.826	0.64	1	1	0.17	0.75
392	h0	1	0.952	0.667	0.859	0.957	0.696	1	1	0.933	27.12
393	h0	1	1.0	0.7	0.9	1.0	0.727	1	1	0.933	34.19
394	h0	1	1.0	0.7	0.9	1.0	0.727	1	1	0.933	32.65
395	h0	1	1.0	0.7	0.9	1.0	0.727	1	1	0.735	15.32
396	h0	1	0.762	0.952	0.668	0.696	0.696	1	1	0.867	16.28
397	h0	1	0.8	1.0	0.7	0.727	0.727	1	1	0.867	20.53
398	h0	1	0.8	1.0	0.7	0.747	0.727	1	1	0.867	21.09
399	h0	1	0.8	1.0	0.7	0.818	0.727	1	1	0.683	13.78
400	h0	1	0.614	1.0	0.655	0.909	0.727	1	1	0.79	18.2
401	h0	1	0.7	1.0	0.7	0.909	0.727	1	1	0.8	22.46
402	h0	1	0.7	1.0	0.7	0.909	0.727	1	1	0.8	22.46
403	h0	1	0.681	1.0	0.591	0.909	0.727	1	1	0.529	8.5
404	h0	1	0.7	0.7	0.7	0.636	0.818	1	1	0.8	13.32
405	h0	1	0.7	0.7	0.7	0.636	0.818	1	1	0.8	13.32
406	h0	1	0.7	0.7	0.7	0.636	0.818	1	1	0.8	13.32
407	h0	1	0.7	0.7	0.7	0.593	0.711	1	1	0.566	5.33
408	h0	1	1.0	0.8	1.0	0.818	1.0	1	1	0.8	48.84
409	h0	1	1.0	0.8	1.0	0.818	1.0	1	1	0.8	48.84
410	h0	1	1.0	0.8	1.0	0.818	1.0	1	1	0.8	48.84
411	h0	1	1.0	0.8	1.0	0.779	0.87	1	1	0.606	21.39
412	h0	1	0.7	1.0	0.7	1.0	0.727	1	1	0.8	24.71
413	h0	1	0.7	1.0	0.7	1.0	0.727	1	1	0.8	24.71
414	h0	1	0.7	1.0	0.7	1.0	0.727	1	1	0.8	24.71
415	h0	1	0.7	1.0	0.7	0.957	0.609	1	1	0.566	9.76
416	h0	1	0.729	0.652	0.645	0.636	0.708	1	1	0.752	8.3
417	h0	1	0.8	0.7	0.7	0.636	0.727	1	1	0.8	11.6
418	h0	1	0.8	0.7	0.7	0.636	0.727	1	1	0.8	11.6
419	h0	1	0.8	0.581	0.659	0.636	0.727	1	1	0.723	5.71
420	h0	1	0.952	0.667	0.668	0.87	0.696	1	1	0.8	16.44
421	h0	1	1.0	0.7	0.7	0.909	0.727	1	1	0.8	20.72
422	h0	1	1.0	0.7	0.7	0.909	0.727	1	1	0.8	20.72
423	h0	1	1.0	0.7	0.7	0.909	0.727	1	1	0.63	12.36
424	h0	1	0.762	0.762	0.955	0.696	0.696	1	1	0.8	17.19
425	h0	1	0.8	0.8	1.0	0.727	0.727	1	1	0.8	21.65
426	h0	1	0.8	0.8	1.0	0.727	0.727	1	1	0.719	18.29
427	h0	1	0.8	0.8	1.0	0.727	0.727	1	1	0.21	2.87
448	h0	1	0.667	0.667	0.764	0.696	0.957	1	1	0.8	14.49
449	h0	1	0.7	0.7	0.8	0.727	1.0	1	1	0.8	18.24
450	h0	1	0.7	0.7	0.8	0.708	1.0	1	1	0.8	17.76
451	h0	1	0.7	0.7	0.8	0.636	1.0	1	1	0.8	15.64
452	h0	1	0.5	0.4	0.327	0.711	1.0	1	1	0.657	1.56
453	h0	1	0.952	0.762	0.955	0.957	0.783	1	1	0.8	33.22
454	h0	1	1.0	0.8	1.0	1.0	0.818	1	1	0.8	41.88
455	h0	1	1.0	0.8	1.0	1.0	0.818	1	1	0.8	41.88
456	h0	1	1.0	0.8	1.0	1.0	0.818	1	1	0.8	41.88
457	h0	1	0.714	0.457	0.409	1.0	0.818	1	1	0.606	3.69
458	h0	1	0.857	0.762	0.955	0.783	0.87	1	1	0.8	27.19
459	h0	1	0.9	0.8	1.0	0.818	0.909	1	1	0.8	34.26
460	h0	1	0.9	0.8	1.0	0.818	0.909	1	1	0.8	34.26
461	h0	1	0.9	0.8	1.0	0.818	0.909	1	1	0.8	34.26
462	h0	1	0.643	0.457	0.409	0.818	0.909	1	1	0.606	3.02
463	h0	1	0.667	0.952	0.668	0.87	0.957	1	1	0.8	22.6
464	h0	1	0.7	1.0	0.7	0.818	1.0	1	1	0.8	25.65
465	h0	1	0.7	1.0	0.7	0.818	1.0	1	1	0.8	25.65
466	h0	1	0.7	1.0	0.7	0.818	1.0	1	1	0.715	22.01
467	h0	1	0.5	0.571	0.286	0.818	1.0	1	1	0.303	0.94
812	h1	1	0.905	0.952	0.573	0.696	0.87	1	1	0.905	12.63
813	h1	1	1.0	1.0	0.655	0.727	0.909	1	1	0.933	18.86
814	h1	1	1.0	1.0	0.668	0.68	0.711	1	1	0.82	10.12
815	h1	1	0.633	0.762	0.955	0.696	0.87	1	1	0.905	20.19
816	h1	1	0.7	0.8	1.0	0.727	0.909	1	1	0.933	27.62
817	h1	1	0.7	0.8	0.955	0.727	0.909	1	1	0.82	18.98
818	h1	1	0.633	0.952	0.764	0.696	0.957	1	1	0.776	19.04
819	h1	1	0.7	1.0	0.9	0.727	1.0	1	1	0.8	29.31
820	h1	1	0.7	1.0	0.859	0.711	1.0	1	1	0.703	19.69
821	h1	1	0.905	0.667	0.382	0.957	0.87	1	1	0.129	0.99
822	h1	1	1.0	0.7	0.4	1.0	0.909	1	1	0.133	1.13
823	h1	1	1.0	0.7	0.382	0.826	0.711	1	1	0.117	0.5
860	h1	1	0.814	0.571	0.859	0.957	0.696	1	1	0.905	19.25
861	h1	1	0.9	0.6	0.9	1.0	0.727	1	1	0.933	26.37
862	h1	1	0.9	0.6	0.9	1.0	0.727	1	1	0.933	25.19
863	h1	1	0.9	0.6	0.9	1.0	0.727	1	1	0.764	12.28
864	h1	1	0.814	0.952	0.668	0.696	0.696	1	1	0.84	16.85
865	h1	1	0.867	1.0	0.7	0.727	0.727	1	1	0.867	22.25
866	h1	1	0.8	1.0	0.7	0.727	0.727	1	1	0.867	20.53
867	h1	1	0.881	1.0	0.7	0.727	0.727	1	1	0.709	14.0
868	h1	1	0.567	1.0	0.655	0.909	0.727	1	1	0.78	16.6
869	h1	1	0.7	1.0	0.7	0.909	0.727	1	1	0.8	22.46
870	h1	1	0.7	1.0	0.7	0.909	0.727	1	1	0.8	22.46
871	h1	1	0.7	1.0	0.591	0.909	0.727	1	1	0.549	9.07
872	h1	1	0.7	0.7	0.7	0.727	0.727	1	1	0.8	13.53
873	h1	1	0.7	0.7	0.7	0.727	0.727	1	1	0.8	13.53
874	h1	1	0.7	0.7	0.7	0.727	0.727	1	1	0.8	13.53
875	h1	1	0.7	0.7	0.7	0.704	0.632	1	1	0.59	5.86
876	h1	1	1.0	0.7	1.0	0.727	1.0	1	1	0.8	37.98
877	h1	1	1.0	0.7	1.0	0.727	1.0	1	1	0.8	37.98
878	h1	1	1.0	0.7	1.0	0.727	1.0	1	1	0.8	37.98
879	h1	1	1.0	0.7	1.0	0.696	0.87	1	1	0.6	16.56
