ChipID	Half	Layer0	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Peff(%)
344	h0	0.941	0.706	0.84	0.632	0.632	0.95	0.909	0.72	0.742	9.15
345	h0	1.0	0.75	0.889	0.667	0.667	1.0	0.909	0.75	0.769	14.35
346	h0	1.0	0.75	1.0	0.667	0.667	1.0	0.909	0.75	0.769	17.49
347	h0	0.588	0.824	0.63	0.947	0.947	0.633	1.0	0.72	0.742	6.87
348	h0	0.625	0.875	0.667	1.0	1.0	0.778	1.0	0.75	0.769	12.59
349	h0	0.625	0.875	0.667	1.0	1.0	0.778	1.0	0.75	0.769	12.59
350	h0	0.941	0.588	0.944	0.947	0.632	0.844	0.705	0.72	0.742	8.11
351	h0	1.0	0.625	1.0	1.0	0.667	0.889	0.727	0.75	0.769	13.15
352	h0	1.0	0.625	1.0	1.0	0.667	0.889	0.727	0.75	0.769	13.15
353	h0	0.706	0.941	0.735	0.632	0.947	0.844	0.705	0.72	0.742	8.96
354	h0	0.75	1.0	0.765	0.667	1.0	0.889	0.727	0.75	0.769	14.27
355	h0	0.632	1.0	0.667	0.667	1.0	0.889	0.727	0.75	0.769	10.48
392	h0	0.941	0.824	0.944	0.632	0.632	0.633	0.727	0.72	0.964	6.93
393	h0	1.0	0.875	1.0	0.667	0.667	0.667	0.727	0.75	0.923	10.05
394	h0	1.0	0.875	1.0	0.667	0.667	0.667	0.727	0.75	0.923	10.05
395	h0	1.0	0.875	1.0	0.667	0.737	0.667	0.727	0.75	0.923	11.1
396	h0	0.588	0.706	0.63	0.947	0.737	0.95	0.727	0.96	0.89	7.99
397	h0	0.625	0.75	0.667	1.0	0.778	1.0	0.727	1.0	0.923	12.55
398	h0	0.625	0.75	0.667	1.0	0.778	1.0	0.727	1.0	0.923	12.55
399	h0	0.625	0.75	0.667	1.0	0.713	1.0	0.727	1.0	0.923	11.5
400	h0	0.706	0.647	0.778	0.655	0.895	0.622	0.455	0.63	0.604	1.48
401	h0	1.0	1.0	1.0	0.889	1.0	0.778	0.727	0.75	0.769	22.3
402	h0	1.0	1.0	1.0	0.889	1.0	0.778	0.727	0.75	0.769	22.3
403	h0	1.0	1.0	1.0	0.889	1.0	0.778	0.727	0.75	0.769	22.3
404	h0	0.574	0.544	0.556	0.626	0.526	0.667	0.591	0.7	0.643	0.8
405	h0	0.75	0.625	0.667	0.667	0.556	0.667	0.727	0.833	0.769	3.32
406	h0	0.75	0.625	0.667	0.667	0.556	0.667	0.727	0.833	0.769	3.32
407	h0	0.75	0.625	0.667	0.667	0.556	0.667	0.727	0.833	0.769	3.32
408	h0	0.669	0.824	0.79	0.947	0.737	1.0	0.606	0.84	0.635	8.07
409	h0	0.875	1.0	0.889	1.0	0.778	1.0	0.727	1.0	0.769	33.83
410	h0	0.875	1.0	0.889	1.0	0.778	1.0	0.727	1.0	0.769	33.83
411	h0	0.875	1.0	0.889	1.0	0.778	1.0	0.727	1.0	0.769	33.83
412	h0	0.721	0.522	0.691	0.632	1.0	0.656	0.792	0.66	0.695	2.84
413	h0	0.875	0.625	0.778	0.667	1.0	0.667	1.0	0.75	0.846	10.16
414	h0	0.875	0.625	0.778	0.667	1.0	0.667	1.0	0.75	0.846	10.16
415	h0	0.875	0.625	0.778	0.667	1.0	0.667	1.0	0.75	0.846	10.16
416	h0	0.412	0.647	0.37	0.737	0.433	0.8	0.682	0.59	0.714	0.48
417	h0	0.875	1.0	0.667	1.0	0.556	1.0	0.818	0.75	1.0	15.31
418	h0	0.875	1.0	0.667	1.0	0.556	1.0	0.818	0.75	1.0	15.31
419	h0	0.875	1.0	0.667	1.0	0.556	1.0	0.818	0.75	1.0	15.31
420	h0	0.941	0.588	0.944	0.842	0.737	0.95	1.0	0.88	0.742	14.92
421	h0	1.0	0.625	1.0	0.889	0.778	1.0	1.0	0.917	0.769	23.44
422	h0	1.0	0.625	1.0	0.889	0.778	1.0	1.0	0.917	0.769	23.44
423	h0	1.0	0.625	1.0	0.889	0.778	1.0	1.0	0.917	0.769	23.44
424	h0	0.706	0.941	0.63	0.632	0.842	0.633	0.909	0.72	0.742	5.08
425	h0	0.75	1.0	0.667	0.667	0.889	0.667	0.909	0.75	0.769	7.98
426	h0	0.75	1.0	0.667	0.667	0.889	0.667	0.909	0.75	0.769	7.98
427	h0	0.75	1.0	0.667	0.667	0.889	0.667	0.909	0.75	0.769	7.98
448	h0	0.941	0.941	0.944	0.632	0.947	0.633	0.818	0.8	0.742	11.41
449	h0	1.0	1.0	1.0	0.667	1.0	0.667	0.818	0.833	0.769	17.93
450	h0	1.0	1.0	1.0	0.667	1.0	0.667	0.818	0.833	0.769	17.93
451	h0	1.0	1.0	1.0	0.667	1.0	0.667	0.818	0.833	0.769	17.93
452	h0	1.0	1.0	1.0	0.667	1.0	0.667	0.818	0.833	0.769	17.93
453	h0	0.0	0.588	0.21	0.842	0.421	0.95	0.25	0.28	0.214	0.0
454	h0	0.574	0.625	0.593	0.889	0.76	1.0	1.0	0.75	0.769	6.28
455	h0	0.75	0.625	0.667	0.889	0.778	1.0	1.0	0.75	0.769	9.59
456	h0	0.75	0.625	0.667	0.889	0.778	1.0	1.0	0.75	0.769	9.59
457	h0	0.75	0.625	0.667	0.889	0.778	1.0	1.0	0.75	0.769	9.59
458	h0	0.824	0.353	0.944	0.632	0.947	0.844	0.466	0.323	0.923	1.1
459	h0	0.875	0.581	1.0	0.667	1.0	0.889	0.727	0.75	0.846	10.69
460	h0	0.875	0.625	1.0	0.667	1.0	0.889	0.727	0.75	0.846	11.5
461	h0	0.875	0.625	1.0	0.667	1.0	0.889	0.727	0.75	0.846	11.5
462	h0	0.875	0.625	1.0	0.667	1.0	0.889	0.727	0.75	0.846	11.5
463	h0	0.706	0.941	0.63	0.842	0.737	0.633	0.727	0.88	0.742	5.79
464	h0	0.75	1.0	0.667	0.889	0.778	0.667	0.727	0.917	0.769	9.1
465	h0	0.75	1.0	0.667	0.889	0.778	0.667	0.727	0.917	0.769	9.1
466	h0	0.75	1.0	0.667	0.889	0.778	0.667	0.727	0.917	0.769	9.1
467	h0	0.75	1.0	0.667	0.889	0.778	0.667	0.727	0.917	0.769	9.1
812	h1	0.882	0.824	0.889	0.696	0.632	0.9	0.909	0.72	0.742	11.97
813	h1	1.0	0.875	1.0	0.76	0.667	1.0	0.909	0.75	0.769	23.25
814	h1	1.0	0.875	1.0	0.667	0.667	1.0	0.909	0.75	0.769	20.41
815	h1	0.551	0.824	0.494	0.895	0.947	0.7	0.958	0.72	0.714	5.35
816	h1	0.625	0.875	0.556	1.0	1.0	0.778	1.0	0.75	0.769	11.54
817	h1	0.625	0.75	0.556	1.0	1.0	0.778	1.0	0.75	0.769	9.89
818	h1	0.882	0.588	0.889	0.895	0.632	0.8	0.705	0.72	0.714	6.17
819	h1	1.0	0.625	1.0	1.0	0.667	0.889	0.727	0.75	0.769	13.15
820	h1	1.0	0.625	1.0	1.0	0.667	0.889	0.727	0.75	0.769	13.15
821	h1	0.662	0.941	0.593	0.596	0.947	0.8	0.705	0.72	0.742	6.06
822	h1	0.75	1.0	0.667	0.667	1.0	0.889	0.727	0.75	0.769	12.44
823	h1	0.64	1.0	0.667	0.667	1.0	0.889	0.727	0.75	0.769	10.61
860	h1	0.882	0.824	0.889	0.596	0.632	0.6	0.697	0.72	0.89	4.84
861	h1	1.0	0.875	1.0	0.667	0.667	0.667	0.727	0.75	0.923	10.05
862	h1	1.0	0.757	1.0	0.667	0.667	0.667	0.727	0.75	0.923	8.69
863	h1	1.0	0.772	1.0	0.667	0.667	0.667	0.727	0.75	0.923	8.87
864	h1	0.551	0.706	0.593	0.895	0.737	0.9	0.697	0.96	0.964	6.55
865	h1	0.625	0.765	0.667	1.0	0.778	1.0	0.727	1.0	1.0	13.87
866	h1	0.625	0.875	0.667	1.0	0.778	1.0	0.727	1.0	1.0	15.87
867	h1	0.625	0.86	0.667	1.0	0.778	1.0	0.727	1.0	1.0	15.59
868	h1	0.618	0.588	0.778	0.608	0.895	0.583	0.455	0.63	0.577	0.95
869	h1	0.875	1.0	1.0	0.889	1.0	0.778	0.727	0.75	0.769	19.51
870	h1	0.875	1.0	1.0	1.0	1.0	0.778	0.727	0.75	0.769	21.95
871	h1	0.875	1.0	1.0	0.889	1.0	0.778	0.727	0.75	0.769	19.51
872	h1	0.574	0.507	0.648	0.591	0.632	0.667	0.576	0.63	0.61	0.72
873	h1	0.75	0.625	0.778	0.667	0.667	0.667	0.727	0.75	0.769	3.84
874	h1	0.75	0.625	0.778	0.667	0.667	0.667	0.727	0.75	0.769	3.84
875	h1	0.75	0.625	0.778	0.667	0.667	0.667	0.727	0.75	0.769	3.84
876	h1	0.669	0.824	0.648	0.895	0.737	0.95	0.576	0.8	0.61	5.17
877	h1	0.875	1.0	0.778	1.0	0.778	1.0	0.727	1.0	0.769	29.61
878	h1	0.875	1.0	0.778	1.0	0.778	1.0	0.727	1.0	0.769	29.61
879	h1	0.875	1.0	0.778	1.0	0.778	1.0	0.727	1.0	0.769	29.61
880	h1	0.669	0.522	0.741	0.632	0.947	0.644	0.792	0.63	0.665	2.51
881	h1	0.875	0.625	0.889	0.667	1.0	0.667	1.0	0.75	0.769	11.51
882	h1	0.875	0.625	0.889	0.667	1.0	0.667	1.0	0.75	0.769	11.51
883	h1	0.875	0.625	0.889	0.667	1.0	0.667	1.0	0.833	0.769	12.79
884	h1	0.353	0.588	0.42	0.684	0.503	0.75	0.682	0.63	0.714	0.45
885	h1	0.75	1.0	0.667	1.0	0.667	1.0	0.818	0.75	1.0	15.74
886	h1	0.75	1.0	0.667	1.0	0.667	1.0	0.818	0.75	1.0	15.74
887	h1	0.75	1.0	0.667	1.0	0.667	1.0	0.818	0.75	1.0	15.74
888	h1	0.882	0.588	0.889	0.795	0.842	0.9	1.0	0.96	0.742	14.68
889	h1	1.0	0.625	1.0	0.889	0.889	1.0	1.0	1.0	0.769	29.21
890	h1	1.0	0.625	1.0	0.889	0.889	1.0	1.0	1.0	0.769	29.21
891	h1	1.0	0.625	1.0	0.889	0.889	1.0	1.0	1.0	0.769	29.21
892	h1	0.551	0.941	0.593	0.596	0.842	0.6	0.909	0.72	0.742	3.34
893	h1	0.625	1.0	0.667	0.667	0.889	0.667	0.909	0.75	0.769	6.65
894	h1	0.625	1.0	0.667	0.667	0.889	0.667	0.909	0.75	0.769	6.65
895	h1	0.625	1.0	0.667	0.667	0.889	0.667	0.909	0.75	0.769	6.65
916	h1	0.882	0.941	0.889	0.596	0.947	0.6	0.784	0.8	0.816	9.49
917	h1	1.0	1.0	1.0	0.667	1.0	0.667	0.818	0.833	0.846	19.72
918	h1	1.0	1.0	1.0	0.667	1.0	0.667	0.818	0.833	0.846	19.72
919	h1	1.0	1.0	1.0	0.667	1.0	0.667	0.818	0.833	0.846	19.72
920	h1	1.0	1.0	1.0	0.667	1.0	0.667	0.818	0.833	0.846	19.72
921	h1	0.0	0.588	0.099	0.696	0.316	0.9	0.208	0.207	0.214	0.0
922	h1	0.574	0.625	0.574	0.778	0.579	1.0	1.0	0.75	0.769	3.99
923	h1	0.75	0.625	0.667	0.778	0.667	1.0	1.0	0.75	0.769	7.2
924	h1	0.75	0.625	0.667	0.778	0.667	1.0	1.0	0.75	0.769	7.2
925	h1	0.75	0.625	0.667	0.778	0.667	1.0	1.0	0.75	0.769	7.2
926	h1	0.772	0.353	0.889	0.596	0.947	0.8	0.447	0.3	0.89	0.8
927	h1	0.875	0.581	1.0	0.667	1.0	0.889	0.727	0.75	0.923	11.67
928	h1	0.875	0.625	1.0	0.667	1.0	0.889	0.727	0.75	0.923	12.55
929	h1	0.875	0.625	1.0	0.667	1.0	0.889	0.727	0.75	0.923	12.55
930	h1	0.875	0.625	1.0	0.667	1.0	0.889	0.727	0.75	0.923	12.55
931	h1	0.662	0.941	0.593	0.696	0.632	0.6	0.701	0.8	0.742	3.01
932	h1	0.75	1.0	0.667	0.778	0.667	0.667	0.727	0.833	0.769	6.2
933	h1	0.75	1.0	0.667	0.778	0.667	0.667	0.727	0.833	0.769	6.2
934	h1	0.75	1.0	0.667	0.778	0.667	0.667	0.727	0.833	0.769	6.2
935	h1	0.75	1.0	0.667	0.778	0.667	0.667	0.727	0.833	0.769	6.2
