ChipID	Half	Layer0	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Peff(%)
332	h0	1	0.708	1	0.947	0.844	0.855	1	1	0.89	43.06
333	h0	1	0.736	1	1.0	0.889	0.9	1	1	0.923	54.35
334	h0	1	0.625	1	1.0	0.889	0.9	1	1	0.923	46.16
335	h0	1	0.944	1	0.632	0.844	0.665	1	1	0.742	24.85
336	h0	1	1.0	1	0.667	0.889	0.7	1	1	0.769	31.92
337	h0	1	1.0	1	0.667	0.889	0.7	1	1	0.769	31.92
338	h0	1	0.59	1	0.947	0.739	0.95	1	1	0.742	29.11
339	h0	1	0.625	1	1.0	0.778	1.0	1	1	0.769	37.39
340	h0	1	0.625	1	0.889	0.778	1.0	1	1	0.769	33.24
341	h0	1	0.944	1	0.632	0.95	0.633	1	1	0.89	31.93
342	h0	1	1.0	1	0.667	1.0	0.7	1	1	0.923	43.09
343	h0	1	1.0	1	0.667	1.0	0.7	1	1	0.923	43.09
356	h0	1	0.59	1	0.737	0.633	0.95	1	1	0.742	19.4
357	h0	1	0.625	1	0.778	0.667	1.0	1	1	0.769	24.94
358	h0	1	0.625	1	0.778	0.667	1.0	1	1	0.769	24.94
359	h0	1	0.625	1	0.778	0.744	1.0	1	1	0.769	27.82
360	h0	1	0.944	1	0.947	0.95	0.665	1	1	0.742	41.91
361	h0	1	1.0	1	1.0	1.0	0.7	1	1	0.769	53.83
362	h0	1	1.0	1	1.0	1.0	0.7	1	1	0.769	53.83
363	h0	1	1.0	1	1.0	1.0	0.7	1	1	0.769	53.83
364	h0	1	0.417	1	0.462	0.8	0.61	1	1	0.687	6.46
365	h0	1	0.75	1	0.667	1.0	0.7	1	1	0.769	26.93
366	h0	1	0.75	1	0.667	1.0	0.7	1	1	0.769	26.93
367	h0	1	0.75	1	0.667	1.0	0.7	1	1	0.769	26.93
368	h0	1	0.729	1	0.947	0.544	1.0	1	1	0.791	29.71
369	h0	1	0.875	1	1.0	0.556	1.0	1	1	0.923	44.9
370	h0	1	0.875	1	1.0	0.556	1.0	1	1	0.923	44.9
