ChipID	Half	Layer0	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Peff(%)
229	h0	1	0.842	0.633	0.95	0.952	1	0.769	0.964	1	35.73
230	h0	1	0.865	0.667	1.0	1.0	1	0.769	1.0	1	44.37
231	h0	1	0.778	0.667	1.0	1.0	1	0.769	1.0	1	39.91
232	h0	1	0.947	0.95	0.665	0.667	1	0.769	0.816	1	25.04
233	h0	1	1.0	1.0	0.7	0.7	1	0.769	0.846	1	31.88
234	h0	1	1.0	1.0	0.7	0.7	1	0.769	0.846	1	31.88
235	h0	1	0.632	0.633	0.95	0.667	1	0.769	0.742	1	14.46
236	h0	1	0.667	0.667	1.0	0.7	1	0.769	0.769	1	18.42
237	h0	1	0.667	0.667	1.0	0.7	1	0.769	0.769	1	18.42
238	h0	1	0.632	0.95	0.665	0.857	1	0.764	0.742	1	19.4
239	h0	1	0.667	1.0	0.7	0.9	1	0.769	0.769	1	24.85
240	h0	1	0.667	1.0	0.7	0.9	1	0.769	0.769	1	24.85
241	h0	1	0.947	0.739	0.665	0.857	1	0.741	0.89	1	26.3
242	h0	1	1.0	0.744	0.7	0.9	1	0.769	0.923	1	33.27
243	h0	1	1.0	0.667	0.7	0.9	1	0.769	0.923	1	29.83
288	h0	1	0.947	0.844	0.76	0.952	1	1.0	0.742	1	42.91
289	h0	1	1.0	0.889	0.8	1.0	1	1.0	0.769	1	54.69
290	h0	1	1.0	0.889	0.8	1.0	1	1.0	0.769	1	54.69
291	h0	1	1.0	0.889	0.8	1.0	1	1.0	0.769	1	54.69
292	h0	1	0.632	0.844	0.665	0.667	1	0.846	0.742	1	14.85
293	h0	1	0.667	0.889	0.7	0.7	1	0.846	0.769	1	18.9
294	h0	1	0.667	0.889	0.7	0.7	1	0.846	0.769	1	18.9
295	h0	1	0.667	0.889	0.7	0.614	1	0.917	0.769	1	17.97
296	h0	1	0.842	0.433	0.95	0.676	1	0.308	0.56	1	4.04
297	h0	1	0.889	0.656	1.0	0.8	1	0.769	0.769	1	27.59
298	h0	1	0.889	0.667	1.0	0.8	1	0.769	0.769	1	28.05
299	h0	1	0.889	0.667	1.0	0.8	1	0.769	0.769	1	28.05
300	h0	1	0.515	0.75	0.49	0.81	1	0.564	0.662	1	5.72
301	h0	1	0.889	1.0	0.7	1.0	1	0.769	0.769	1	36.8
302	h0	1	0.889	1.0	0.7	1.0	1	0.769	0.769	1	36.8
303	h0	1	0.889	1.0	0.7	1.0	1	0.769	0.769	1	36.8
304	h0	1	0.561	0.583	0.665	0.576	1	0.647	0.791	1	6.41
305	h0	1	0.667	0.667	0.7	0.6	1	0.769	0.923	1	13.26
306	h0	1	0.667	0.667	0.7	0.6	1	0.75	0.923	1	12.93
307	h0	1	0.667	0.667	0.7	0.6	1	0.769	0.923	1	13.26
308	h0	1	0.789	0.661	0.9	0.762	1	0.627	0.821	1	18.41
309	h0	1	1.0	0.778	1.0	0.8	1	0.769	1.0	1	47.86
310	h0	1	1.0	0.778	1.0	0.8	1	0.769	1.0	1	47.86
311	h0	1	1.0	0.778	1.0	0.8	1	0.769	1.0	1	47.86
312	h0	1	0.579	0.85	0.67	0.952	1	0.718	0.725	1	16.34
313	h0	1	0.667	1.0	0.7	1.0	1	0.917	0.846	1	36.22
314	h0	1	0.667	1.0	0.7	1.0	1	0.917	0.846	1	36.22
315	h0	1	0.667	1.0	0.7	1.0	1	0.923	0.846	1	36.46
316	h0	1	0.526	0.444	0.54	0.514	1	0.704	0.679	1	3.1
317	h0	1	1.0	0.667	0.9	0.6	1	1.0	0.769	1	27.7
318	h0	1	1.0	0.667	0.9	0.6	1	1.0	0.769	1	27.7
319	h0	1	1.0	0.667	0.9	0.6	1	1.0	0.769	1	27.7
320	h0	1	0.632	0.95	0.855	0.762	1	0.769	0.602	1	18.11
321	h0	1	0.667	1.0	0.9	0.8	1	0.769	0.769	1	28.4
322	h0	1	0.667	1.0	0.9	0.8	1	0.769	0.769	1	28.4
323	h0	1	0.667	1.0	0.9	0.8	1	0.769	0.769	1	28.4
324	h0	1	0.737	0.633	0.665	0.952	1	0.769	0.742	1	16.85
