ChipID	Half	Layer0	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Peff(%)
344	h0	0.941	0.706	0.84	1	1	0.95	1	0.72	0.742	25.21
345	h0	1.0	0.75	0.889	1	1	1.0	1	0.75	0.769	35.49
346	h0	1.0	0.75	1.0	1	1	1.0	1	0.75	0.769	43.26
347	h0	0.588	0.824	0.63	1	1	0.633	1	0.72	0.742	7.66
348	h0	0.625	0.875	0.667	1	1	0.778	1	0.75	0.769	12.59
349	h0	0.625	0.875	0.667	1	1	0.778	1	0.75	0.769	12.59
350	h0	0.941	0.588	0.944	1	1	0.844	1	0.72	0.742	19.22
351	h0	1.0	0.625	1.0	1	1	0.889	1	0.75	0.769	27.11
352	h0	1.0	0.625	1.0	1	1	0.889	1	0.75	0.769	27.11
353	h0	0.706	0.941	0.735	1	1	0.844	1	0.72	0.742	21.22
354	h0	0.75	1.0	0.765	1	1	0.889	1	0.75	0.769	29.42
355	h0	0.632	1.0	0.667	1	1	0.889	1	0.75	0.769	21.61
392	h0	0.941	0.824	0.944	1	1	0.633	1	0.72	0.964	23.86
393	h0	1.0	0.875	1.0	1	1	0.667	1	0.75	0.923	31.07
394	h0	1.0	0.875	1.0	1	1	0.667	1	0.75	0.923	31.07
395	h0	1.0	0.875	1.0	1	1	0.667	1	0.75	0.923	31.07
396	h0	0.588	0.706	0.63	1	1	0.95	1	0.96	0.89	15.75
397	h0	0.625	0.75	0.667	1	1	1.0	1	1.0	0.923	22.19
398	h0	0.625	0.75	0.667	1	1	1.0	1	1.0	0.923	22.19
399	h0	0.625	0.75	0.667	1	1	1.0	1	1.0	0.923	22.19
400	h0	0.706	0.647	0.778	1	1	0.622	1	0.63	0.604	5.54
401	h0	1.0	1.0	1.0	1	1	0.778	1	0.75	0.769	34.51
402	h0	1.0	1.0	1.0	1	1	0.778	1	0.75	0.769	34.51
403	h0	1.0	1.0	1.0	1	1	0.778	1	0.75	0.769	34.51
404	h0	0.574	0.544	0.556	1	1	0.667	1	0.7	0.643	4.12
405	h0	0.75	0.625	0.667	1	1	0.667	1	0.833	0.769	12.33
406	h0	0.75	0.625	0.667	1	1	0.667	1	0.833	0.769	12.33
407	h0	0.75	0.625	0.667	1	1	0.667	1	0.833	0.769	12.33
408	h0	0.669	0.824	0.79	1	1	1.0	1	0.84	0.635	19.07
409	h0	0.875	1.0	0.889	1	1	1.0	1	1.0	0.769	59.82
410	h0	0.875	1.0	0.889	1	1	1.0	1	1.0	0.769	59.82
411	h0	0.875	1.0	0.889	1	1	1.0	1	1.0	0.769	59.82
412	h0	0.721	0.522	0.691	1	1	0.656	1	0.66	0.695	5.67
413	h0	0.875	0.625	0.778	1	1	0.667	1	0.75	0.846	15.23
414	h0	0.875	0.625	0.778	1	1	0.667	1	0.75	0.846	15.23
415	h0	0.875	0.625	0.778	1	1	0.667	1	0.75	0.846	15.23
416	h0	0.412	0.647	0.37	1	1	0.8	1	0.59	0.714	2.19
417	h0	0.875	1.0	0.667	1	1	1.0	1	0.75	1.0	33.66
418	h0	0.875	1.0	0.667	1	1	1.0	1	0.75	1.0	33.66
419	h0	0.875	1.0	0.667	1	1	1.0	1	0.75	1.0	33.66
420	h0	0.941	0.588	0.944	1	1	0.95	1	0.88	0.742	24.04
421	h0	1.0	0.625	1.0	1	1	1.0	1	0.917	0.769	33.89
422	h0	1.0	0.625	1.0	1	1	1.0	1	0.917	0.769	33.89
423	h0	1.0	0.625	1.0	1	1	1.0	1	0.917	0.769	33.89
424	h0	0.706	0.941	0.63	1	1	0.633	1	0.72	0.742	10.5
425	h0	0.75	1.0	0.667	1	1	0.667	1	0.75	0.769	14.8
426	h0	0.75	1.0	0.667	1	1	0.667	1	0.75	0.769	14.8
427	h0	0.75	1.0	0.667	1	1	0.667	1	0.75	0.769	14.8
448	h0	0.941	0.941	0.944	1	1	0.633	1	0.8	0.742	23.31
449	h0	1.0	1.0	1.0	1	1	0.667	1	0.833	0.769	32.86
450	h0	1.0	1.0	1.0	1	1	0.667	1	0.833	0.769	32.86
451	h0	1.0	1.0	1.0	1	1	0.667	1	0.833	0.769	32.86
452	h0	1.0	1.0	1.0	1	1	0.667	1	0.833	0.769	32.86
453	h0	0.0	0.588	0.21	1	1	0.95	1	0.28	0.214	0.0
454	h0	0.574	0.625	0.593	1	1	1.0	1	0.75	0.769	9.3
455	h0	0.75	0.625	0.667	1	1	1.0	1	0.75	0.769	13.87
456	h0	0.75	0.625	0.667	1	1	1.0	1	0.75	0.769	13.87
457	h0	0.75	0.625	0.667	1	1	1.0	1	0.75	0.769	13.87
458	h0	0.824	0.353	0.944	1	1	0.844	1	0.323	0.923	3.95
459	h0	0.875	0.581	1.0	1	1	0.889	1	0.75	0.846	22.05
460	h0	0.875	0.625	1.0	1	1	0.889	1	0.75	0.846	23.72
461	h0	0.875	0.625	1.0	1	1	0.889	1	0.75	0.846	23.72
462	h0	0.875	0.625	1.0	1	1	0.889	1	0.75	0.846	23.72
463	h0	0.706	0.941	0.63	1	1	0.633	1	0.88	0.742	12.84
464	h0	0.75	1.0	0.667	1	1	0.667	1	0.917	0.769	18.09
465	h0	0.75	1.0	0.667	1	1	0.667	1	0.917	0.769	18.09
466	h0	0.75	1.0	0.667	1	1	0.667	1	0.917	0.769	18.09
467	h0	0.75	1.0	0.667	1	1	0.667	1	0.917	0.769	18.09
812	h1	0.882	0.824	0.889	1	1	0.9	1	0.72	0.742	29.95
813	h1	1.0	0.875	1.0	1	1	1.0	1	0.75	0.769	50.47
814	h1	1.0	0.875	1.0	1	1	1.0	1	0.75	0.769	50.47
815	h1	0.551	0.824	0.494	1	1	0.7	1	0.72	0.714	6.59
816	h1	0.625	0.875	0.556	1	1	0.778	1	0.75	0.769	11.54
817	h1	0.625	0.75	0.556	1	1	0.778	1	0.75	0.769	9.89
818	h1	0.882	0.588	0.889	1	1	0.8	1	0.72	0.714	15.47
819	h1	1.0	0.625	1.0	1	1	0.889	1	0.75	0.769	27.11
820	h1	1.0	0.625	1.0	1	1	0.889	1	0.75	0.769	27.11
821	h1	0.662	0.941	0.593	1	1	0.8	1	0.72	0.742	15.22
822	h1	0.75	1.0	0.667	1	1	0.889	1	0.75	0.769	25.65
823	h1	0.64	1.0	0.667	1	1	0.889	1	0.75	0.769	21.89
860	h1	0.882	0.824	0.889	1	1	0.6	1	0.72	0.89	18.43
861	h1	1.0	0.875	1.0	1	1	0.667	1	0.75	0.923	31.07
862	h1	1.0	0.757	1.0	1	1	0.667	1	0.75	0.923	26.88
863	h1	1.0	0.772	1.0	1	1	0.667	1	0.75	0.923	27.41
864	h1	0.551	0.706	0.593	1	1	0.9	1	0.96	0.964	14.26
865	h1	0.625	0.765	0.667	1	1	1.0	1	1.0	1.0	24.52
866	h1	0.625	0.875	0.667	1	1	1.0	1	1.0	1.0	28.05
867	h1	0.625	0.86	0.667	1	1	1.0	1	1.0	1.0	27.57
868	h1	0.618	0.588	0.778	1	1	0.583	1	0.63	0.577	3.83
869	h1	0.875	1.0	1.0	1	1	0.778	1	0.75	0.769	30.19
870	h1	0.875	1.0	1.0	1	1	0.778	1	0.75	0.769	30.19
871	h1	0.875	1.0	1.0	1	1	0.778	1	0.75	0.769	30.19
872	h1	0.574	0.507	0.648	1	1	0.667	1	0.63	0.61	3.36
873	h1	0.75	0.625	0.778	1	1	0.667	1	0.75	0.769	11.87
