ChipID	Half	Layer0	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Peff(%)	Peff_Original(%)
344	h0	0.632	1	0.76	0.762	0.0	0.668	0.769	0.846	0.786	0.0	11.09
345	h0	0.667	1	0.8	0.8	0.0	0.7	0.769	0.846	0.786	0.0	14.2
346	h0	0.667	1	0.7	0.8	0.0	0.682	0.769	0.846	0.786	0.0	12.1
347	h0	0.947	1	0.95	0.667	0.0	0.859	0.769	0.769	0.786	0.0	14.87
348	h0	1.0	1	1.0	0.7	0.0	0.9	0.769	0.769	0.786	0.0	19.04
349	h0	1.0	1	1.0	0.7	0.0	0.9	0.769	0.769	0.786	0.0	19.04
350	h0	0.737	1	0.76	0.667	0.955	0.764	0.746	0.769	0.786	11.42	11.42
351	h0	0.754	1	0.765	0.7	1.0	0.8	0.769	0.769	0.786	15.01	15.01
352	h0	0.667	1	0.7	0.7	1.0	0.8	0.769	0.769	0.786	12.15	12.15
353	h0	0.947	1	0.76	0.952	0.668	0.668	0.769	0.923	0.857	17.28	17.28
354	h0	1.0	1	0.84	1.0	0.7	0.7	0.769	0.923	0.786	21.33	21.33
355	h0	1.0	1	0.9	1.0	0.673	0.691	0.769	0.923	0.786	21.69	21.69
392	h0	0.737	1	0.665	0.952	0.0	0.955	0.923	0.769	0.786	0.0	17.64
393	h0	0.778	1	0.7	1.0	0.0	1.0	0.923	0.769	0.786	0.0	22.58
394	h0	0.778	1	0.7	1.0	0.0	1.0	0.923	0.769	0.786	0.0	22.58
395	h0	0.778	1	0.7	1.0	0.0	1.0	0.923	0.676	0.786	0.0	19.85
396	h0	0.632	1	0.95	0.667	0.955	0.668	1.0	0.769	0.786	14.35	14.35
397	h0	0.667	1	1.0	0.7	1.0	0.7	1.0	0.769	0.786	18.35	18.35
398	h0	0.667	1	1.0	0.7	1.0	0.7	1.0	0.769	0.786	18.35	18.35
399	h0	0.667	1	1.0	0.7	1.0	0.7	1.0	0.769	0.786	18.35	18.35
400	h0	0.842	1	0.9	0.614	1.0	0.655	0.667	0.769	0.737	11.52	11.52
401	h0	1.0	1	1.0	0.7	1.0	0.7	0.769	0.769	0.786	22.78	22.78
402	h0	1.0	1	1.0	0.7	1.0	0.7	0.769	0.769	0.786	22.78	22.78
403	h0	1.0	1	1.0	0.671	1.0	0.7	0.769	0.769	0.749	19.33	19.33
404	h0	0.632	1	0.7	0.7	0.6	0.7	0.761	0.923	0.772	7.05	7.05
405	h0	0.667	1	0.7	0.7	0.6	0.7	0.769	0.923	0.786	7.66	7.66
406	h0	0.667	1	0.7	0.7	0.6	0.7	0.769	0.923	0.786	7.66	7.66
407	h0	0.667	1	0.7	0.7	0.6	0.7	0.769	0.923	0.786	7.66	7.66
408	h0	0.842	1	0.8	1.0	0.8	1.0	0.769	1.0	0.765	31.7	31.7
409	h0	0.889	1	0.8	1.0	0.8	1.0	0.769	1.0	0.786	34.39	34.39
410	h0	0.889	1	0.8	1.0	0.8	1.0	0.769	1.0	0.786	34.39	34.39
411	h0	0.889	1	0.8	1.0	0.8	1.0	0.769	1.0	0.786	34.39	34.39
412	h0	0.842	1	0.9	0.7	1.0	0.7	0.783	0.923	0.765	20.53	20.53
413	h0	0.889	1	0.9	0.7	1.0	0.7	0.846	0.923	0.786	24.06	24.06
414	h0	0.889	1	0.9	0.7	1.0	0.7	0.846	0.923	0.786	24.06	24.06
415	h0	0.889	1	0.9	0.7	1.0	0.7	0.846	0.923	0.767	23.48	23.48
416	h0	0.462	1	0.58	0.686	0.577	0.645	0.926	0.769	0.671	3.27	3.27
417	h0	0.667	1	0.7	0.8	0.6	0.7	1.0	0.769	0.786	9.48	9.48
418	h0	0.667	1	0.7	0.8	0.6	0.7	1.0	0.769	0.786	9.48	9.48
419	h0	0.667	1	0.7	0.8	0.6	0.7	1.0	0.769	0.786	9.48	9.48
420	h0	0.947	1	0.665	0.857	0.573	0.668	0.769	0.769	0.786	9.6	9.6
421	h0	1.0	1	0.7	0.9	0.6	0.7	0.769	0.769	0.786	12.3	12.3
422	h0	1.0	1	0.7	0.9	0.6	0.7	0.769	0.769	0.786	12.3	12.3
423	h0	1.0	1	0.7	0.9	0.6	0.7	0.769	0.769	0.786	12.3	12.3
