ChipID	Half	Layer0	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Peff(%)	Peff_Original(%)
344	h0	0.632	0.947	0.76	0.762	0.955	0.668	0.769	0.846	0.786	10.5	10.5
345	h0	0.667	0.971	0.8	0.8	1.0	0.7	0.769	0.846	0.786	13.78	13.78
346	h0	0.667	0.889	0.7	0.8	1.0	0.682	0.769	0.846	0.786	10.76	10.76
347	h0	0.947	0.842	0.95	0.667	0.668	0.859	0.769	0.769	0.786	12.52	12.52
348	h0	1.0	0.889	1.0	0.7	0.7	0.9	0.769	0.769	0.786	16.93	16.93
349	h0	1.0	0.889	1.0	0.7	0.7	0.9	0.769	0.769	0.786	16.93	16.93
350	h0	0.737	0.947	0.76	0.667	0.955	0.764	0.746	0.769	0.786	10.81	10.81
351	h0	0.754	1.0	0.765	0.7	1.0	0.8	0.769	0.769	0.786	15.01	15.01
352	h0	0.667	1.0	0.7	0.7	1.0	0.8	0.769	0.769	0.786	12.15	12.15
353	h0	0.947	0.632	0.76	0.952	0.668	0.668	0.769	0.923	0.857	10.92	10.92
354	h0	1.0	0.667	0.84	1.0	0.7	0.7	0.769	0.923	0.786	14.23	14.23
355	h0	1.0	0.667	0.9	1.0	0.673	0.691	0.769	0.923	0.786	14.47	14.47
392	h0	0.737	0.632	0.665	0.952	0.764	0.955	0.923	0.769	0.786	11.15	11.15
393	h0	0.778	0.667	0.7	1.0	0.8	1.0	0.923	0.769	0.786	15.06	15.06
394	h0	0.778	0.667	0.7	1.0	0.8	1.0	0.923	0.769	0.786	15.06	15.06
395	h0	0.778	0.667	0.7	1.0	0.8	1.0	0.923	0.676	0.786	13.24	13.24
396	h0	0.632	0.947	0.95	0.667	0.955	0.668	1.0	0.769	0.786	13.59	13.59
397	h0	0.667	1.0	1.0	0.7	1.0	0.7	1.0	0.769	0.786	18.35	18.35
398	h0	0.667	1.0	1.0	0.7	1.0	0.7	1.0	0.769	0.786	18.35	18.35
399	h0	0.667	1.0	1.0	0.7	1.0	0.7	1.0	0.769	0.786	18.35	18.35
400	h0	0.842	0.614	0.9	0.614	1.0	0.655	0.667	0.769	0.737	7.07	7.07
401	h0	1.0	0.778	1.0	0.7	1.0	0.7	0.769	0.769	0.786	17.72	17.72
402	h0	1.0	0.778	1.0	0.7	1.0	0.7	0.769	0.769	0.786	17.72	17.72
403	h0	1.0	0.778	1.0	0.671	1.0	0.7	0.769	0.769	0.749	15.04	15.04
404	h0	0.632	0.667	0.7	0.7	0.1	0.7	0.761	0.923	0.772	0.78	4.7
405	h0	0.667	0.667	0.7	0.7	0.1	0.7	0.769	0.923	0.786	0.85	5.11
406	h0	0.667	0.667	0.7	0.7	0.1	0.7	0.769	0.923	0.786	0.85	5.11
407	h0	0.667	0.667	0.7	0.7	0.1	0.7	0.769	0.923	0.786	0.85	5.11
408	h0	0.842	0.947	0.8	1.0	0.0	1.0	0.769	1.0	0.765	0.0	30.02
409	h0	0.889	1.0	0.8	1.0	0.0	1.0	0.769	1.0	0.786	0.0	34.39
410	h0	0.889	1.0	0.8	1.0	0.0	1.0	0.769	1.0	0.786	0.0	34.39
411	h0	0.889	1.0	0.8	1.0	0.0	1.0	0.769	1.0	0.786	0.0	34.39
412	h0	0.842	0.655	0.9	0.7	0.0	0.7	0.783	0.923	0.765	0.0	13.45
413	h0	0.889	0.667	0.9	0.7	0.0	0.7	0.846	0.923	0.786	0.0	16.05
