ChipID	Half	Layer0	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Peff(%)	Peff_Original(%)
344	h0	0.632	0.947	0.76	0.762	0.955	1	1	1	0.786	24.17	24.17
345	h0	0.667	0.971	0.8	0.8	1.0	1	1	1	0.786	30.27	30.27
346	h0	0.667	0.889	0.7	0.8	1.0	1	1	1	0.786	24.25	24.25
347	h0	0.947	0.842	0.95	0.667	0.668	1	1	1	0.786	24.64	24.64
348	h0	1.0	0.889	1.0	0.7	0.7	1	1	1	0.786	31.81	31.81
349	h0	1.0	0.889	1.0	0.7	0.7	1	1	1	0.786	31.81	31.81
350	h0	0.737	0.947	0.76	0.667	0.955	1	1	1	0.786	24.67	24.67
351	h0	0.754	1.0	0.765	0.7	1.0	1	1	1	0.786	31.74	31.74
352	h0	0.667	1.0	0.7	0.7	1.0	1	1	1	0.786	25.69	25.69
353	h0	0.947	0.632	0.76	0.952	0.668	1	1	1	0.857	23.03	23.03
354	h0	1.0	0.667	0.84	1.0	0.7	1	1	1	0.786	28.64	28.64
355	h0	1.0	0.667	0.9	1.0	0.673	1	1	1	0.786	29.5	29.5
392	h0	0.737	0.632	0.665	0.952	0.764	1	1	1	0.786	16.45	16.45
393	h0	0.778	0.667	0.7	1.0	0.8	1	1	1	0.786	21.22	21.22
394	h0	0.778	0.667	0.7	1.0	0.8	1	1	1	0.786	21.22	21.22
395	h0	0.778	0.667	0.7	1.0	0.8	1	1	1	0.786	21.22	21.22
396	h0	0.632	0.947	0.95	0.667	0.955	1	1	1	0.786	26.45	26.45
397	h0	0.667	1.0	1.0	0.7	1.0	1	1	1	0.786	34.09	34.09
398	h0	0.667	1.0	1.0	0.7	1.0	1	1	1	0.786	34.09	34.09
399	h0	0.667	1.0	1.0	0.7	1.0	1	1	1	0.786	34.09	34.09
400	h0	0.842	0.614	0.9	0.614	1.0	1	1	1	0.737	21.06	21.06
401	h0	1.0	0.778	1.0	0.7	1.0	1	1	1	0.786	42.81	42.81
402	h0	1.0	0.778	1.0	0.7	1.0	1	1	1	0.786	42.81	42.81
403	h0	1.0	0.778	1.0	0.671	1.0	1	1	1	0.749	36.32	36.32
404	h0	0.632	0.667	0.7	0.7	0.6	1	1	1	0.772	9.57	9.57
405	h0	0.667	0.667	0.7	0.7	0.6	1	1	1	0.786	10.28	10.28
406	h0	0.667	0.667	0.7	0.7	0.6	1	1	1	0.786	10.28	10.28
407	h0	0.667	0.667	0.7	0.7	0.6	1	1	1	0.786	10.28	10.28
408	h0	0.842	0.947	0.8	1.0	0.8	1	1	1	0.765	39.04	39.04
409	h0	0.889	1.0	0.8	1.0	0.8	1	1	1	0.786	44.72	44.72
410	h0	0.889	1.0	0.8	1.0	0.8	1	1	1	0.786	44.72	44.72
411	h0	0.889	1.0	0.8	1.0	0.8	1	1	1	0.786	44.72	44.72
412	h0	0.842	0.655	0.9	0.7	1.0	1	1	1	0.765	26.58	26.58
413	h0	0.889	0.667	0.9	0.7	1.0	1	1	1	0.786	29.36	29.36
414	h0	0.889	0.667	0.9	0.7	1.0	1	1	1	0.786	29.36	29.36
415	h0	0.889	0.667	0.9	0.7	1.0	1	1	1	0.767	28.65	28.65
416	h0	0.462	0.737	0.58	0.686	0.577	1	1	1	0.671	5.25	5.25
417	h0	0.667	1.0	0.7	0.8	0.6	1	1	1	0.786	17.62	17.62
418	h0	0.667	1.0	0.7	0.8	0.6	1	1	1	0.786	17.62	17.62
419	h0	0.667	1.0	0.7	0.8	0.6	1	1	1	0.786	17.62	17.62
420	h0	0.947	0.947	0.665	0.857	0.573	1	1	1	0.786	23.02	23.02
421	h0	1.0	1.0	0.7	0.9	0.6	1	1	1	0.786	29.71	29.71
422	h0	1.0	1.0	0.7	0.9	0.6	1	1	1	0.786	29.71	29.71
423	h0	1.0	1.0	0.7	0.9	0.6	1	1	1	0.786	29.71	29.71
424	h0	0.737	0.632	0.95	0.857	0.668	1	1	1	0.786	19.91	19.91
425	h0	0.778	0.667	1.0	0.9	0.7	1	1	1	0.786	25.7	25.7
426	h0	0.778	0.667	1.0	0.9	0.7	1	1	1	0.786	25.7	25.7
427	h0	0.778	0.667	1.0	0.9	0.7	1	1	1	0.786	25.7	25.7
448	h0	0.947	0.632	0.76	0.667	0.668	1	1	1	0.786	14.8	14.8
449	h0	1.0	0.667	0.8	0.7	0.7	1	1	1	0.786	19.09	19.09
450	h0	1.0	0.667	0.8	0.7	0.695	1	1	1	0.786	18.96	18.96
451	h0	1.0	0.667	0.8	0.7	0.605	1	1	1	0.786	16.5	16.5
452	h0	1.0	0.667	0.68	0.467	0.655	1	1	1	0.786	10.13	10.13
