ChipID	Half	Layer0	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Peff(%)	Peff_Original(%)
344	h0	1	1	1	0.762	1	0.668	1	0.846	0.786	31.44	31.44
345	h0	1	1	1	0.8	1	0.7	1	0.846	0.786	34.59	34.59
346	h0	1	1	1	0.8	1	0.682	1	0.846	0.786	33.7	33.7
347	h0	1	1	1	0.667	1	0.859	1	0.769	0.786	32.17	32.17
348	h0	1	1	1	0.7	1	0.9	1	0.769	0.786	35.38	35.38
349	h0	1	1	1	0.7	1	0.9	1	0.769	0.786	35.38	35.38
350	h0	1	1	1	0.667	1	0.764	1	0.769	0.786	28.61	28.61
351	h0	1	1	1	0.7	1	0.8	1	0.769	0.786	33.85	33.85
352	h0	1	1	1	0.7	1	0.8	1	0.769	0.786	33.85	33.85
353	h0	1	1	1	0.952	1	0.668	1	0.923	0.857	46.73	46.73
354	h0	1	1	1	1.0	1	0.7	1	0.923	0.786	47.18	47.18
355	h0	1	1	1	1.0	1	0.691	1	0.923	0.786	46.57	46.57
392	h0	1	1	1	0.952	1	0.955	1	0.769	0.786	51.05	51.05
393	h0	1	1	1	1.0	1	1.0	1	0.769	0.786	56.15	56.15
394	h0	1	1	1	1.0	1	1.0	1	0.769	0.786	56.15	56.15
395	h0	1	1	1	1.0	1	1.0	1	0.676	0.786	49.36	49.36
396	h0	1	1	1	0.667	1	0.668	1	0.769	0.786	25.02	25.02
397	h0	1	1	1	0.7	1	0.7	1	0.769	0.786	27.51	27.51
398	h0	1	1	1	0.7	1	0.7	1	0.769	0.786	27.51	27.51
399	h0	1	1	1	0.7	1	0.7	1	0.769	0.786	27.51	27.51
400	h0	1	1	1	0.614	1	0.655	1	0.769	0.737	22.79	22.79
401	h0	1	1	1	0.7	1	0.7	1	0.769	0.786	29.62	29.62
402	h0	1	1	1	0.7	1	0.7	1	0.769	0.786	29.62	29.62
403	h0	1	1	1	0.671	1	0.7	1	0.769	0.749	25.13	25.13
404	h0	1	1	1	0.7	1	0.7	1	0.923	0.772	34.92	34.92
405	h0	1	1	1	0.7	1	0.7	1	0.923	0.786	35.55	35.55
406	h0	1	1	1	0.7	1	0.7	1	0.923	0.786	35.55	35.55
407	h0	1	1	1	0.7	1	0.7	1	0.923	0.786	35.55	35.55
408	h0	1	1	1	1.0	1	1.0	1	1.0	0.765	76.5	76.5
409	h0	1	1	1	1.0	1	1.0	1	1.0	0.786	78.6	78.6
410	h0	1	1	1	1.0	1	1.0	1	1.0	0.786	78.6	78.6
411	h0	1	1	1	1.0	1	1.0	1	1.0	0.786	78.6	78.6
412	h0	1	1	1	0.7	1	0.1	1	0.923	0.765	4.94	34.6
413	h0	1	1	1	0.7	1	0.1	1	0.923	0.786	5.08	35.55
414	h0	1	1	1	0.7	1	0.1	1	0.923	0.786	5.08	35.55
415	h0	1	1	1	0.7	1	0.1	1	0.923	0.767	4.96	34.69
416	h0	1	1	1	0.686	1	0.0	1	0.769	0.671	0.0	22.83
417	h0	1	1	1	0.8	1	0.0	1	0.769	0.786	0.0	33.85
418	h0	1	1	1	0.8	1	0.0	1	0.769	0.786	0.0	33.85
419	h0	1	1	1	0.8	1	0.0	1	0.769	0.786	0.0	33.85
420	h0	1	1	1	0.857	1	0.191	1	0.769	0.786	9.89	34.6
421	h0	1	1	1	0.9	1	0.2	1	0.769	0.786	10.88	38.08
422	h0	1	1	1	0.9	1	0.2	1	0.769	0.786	10.88	38.08
423	h0	1	1	1	0.9	1	0.2	1	0.769	0.786	10.88	38.08
424	h0	1	1	1	0.857	1	0.955	1	0.769	0.786	49.47	49.47
425	h0	1	1	1	0.9	1	1.0	1	0.769	0.786	54.4	54.4
426	h0	1	1	1	0.9	1	1.0	1	0.769	0.786	54.4	54.4
427	h0	1	1	1	0.9	1	1.0	1	0.676	0.786	47.82	47.82
448	h0	1	1	1	0.667	1	0.764	1	0.769	0.786	28.61	28.61
449	h0	1	1	1	0.7	1	0.8	1	0.769	0.786	31.45	31.45
450	h0	1	1	1	0.7	1	0.8	1	0.769	0.786	31.45	31.45
451	h0	1	1	1	0.7	1	0.8	1	0.769	0.786	31.45	31.45
452	h0	1	1	1	0.467	1	0.8	1	0.385	0.786	10.5	10.5
453	h0	1	1	1	0.952	1	0.955	1	0.648	0.62	33.93	33.93
454	h0	1	1	1	1.0	1	1.0	1	0.769	0.786	56.15	56.15
455	h0	1	1	1	1.0	1	1.0	1	0.769	0.786	56.15	56.15
456	h0	1	1	1	1.0	1	1.0	1	0.769	0.786	56.15	56.15
457	h0	1	1	1	0.667	1	1.0	1	0.462	0.758	21.7	21.7
458	h0	1	1	1	0.952	1	0.0	1	0.676	0.786	0.0	48.31
459	h0	1	1	1	1.0	1	0.0	1	0.769	0.786	0.0	60.44
460	h0	1	1	1	1.0	1	0.0	1	0.769	0.786	0.0	60.44
461	h0	1	1	1	1.0	1	0.0	1	0.769	0.786	0.0	60.44
462	h0	1	1	1	0.667	1	0.0	1	0.462	0.786	0.0	24.22
