ChipID	Half	Layer0	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Peff(%)	Peff_Original(%)
344	h0	0.632	0.947	0.76	0.762	1	0.668	0.769	1	0.786	13.0	13.0
345	h0	0.667	0.971	0.8	0.8	1	0.7	0.769	1	0.786	16.29	16.29
346	h0	0.667	0.889	0.7	0.8	1	0.682	0.769	1	0.786	12.72	12.72
347	h0	0.947	0.842	0.95	0.667	1	0.859	0.769	1	0.786	24.37	24.37
348	h0	1.0	0.889	1.0	0.7	1	0.9	0.769	1	0.786	31.45	31.45
349	h0	1.0	0.889	1.0	0.7	1	0.9	0.769	1	0.786	31.45	31.45
350	h0	0.737	0.947	0.76	0.667	1	0.764	0.746	1	0.786	14.72	14.72
351	h0	0.754	1.0	0.765	0.7	1	0.8	0.769	1	0.786	19.52	19.52
352	h0	0.667	1.0	0.7	0.7	1	0.8	0.769	1	0.786	15.8	15.8
353	h0	0.947	0.632	0.76	0.952	1	0.668	0.769	1	0.857	17.71	17.71
354	h0	1.0	0.667	0.84	1.0	1	0.7	0.769	1	0.786	22.02	22.02
355	h0	1.0	0.667	0.9	1.0	1	0.691	0.769	1	0.786	23.29	23.29
392	h0	0.737	0.632	0.665	0.952	1	0.955	0.923	1	0.786	18.98	18.98
393	h0	0.778	0.667	0.7	1.0	1	1.0	0.923	1	0.786	24.48	24.48
394	h0	0.778	0.667	0.7	1.0	1	1.0	0.923	1	0.786	24.48	24.48
395	h0	0.778	0.667	0.7	1.0	1	1.0	0.923	1	0.786	24.48	24.48
396	h0	0.632	0.947	0.95	0.667	1	0.668	1.0	1	0.786	18.5	18.5
397	h0	0.667	1.0	1.0	0.7	1	0.7	1.0	1	0.786	23.86	23.86
398	h0	0.667	1.0	1.0	0.7	1	0.7	1.0	1	0.786	23.86	23.86
399	h0	0.667	1.0	1.0	0.7	1	0.7	1.0	1	0.786	23.86	23.86
400	h0	0.842	0.614	0.9	0.614	1	0.0	0.667	1	0.737	0.0	9.2
401	h0	1.0	0.778	1.0	0.7	1	0.0	0.769	1	0.786	0.0	23.04
402	h0	1.0	0.778	1.0	0.7	1	0.0	0.769	1	0.786	0.0	23.04
403	h0	1.0	0.778	1.0	0.671	1	0.0	0.769	1	0.749	0.0	19.55
404	h0	0.632	0.667	0.7	0.7	1	0.0	0.761	1	0.772	0.0	8.49
405	h0	0.667	0.667	0.7	0.7	1	0.0	0.769	1	0.786	0.0	9.22
406	h0	0.667	0.667	0.7	0.7	1	0.0	0.769	1	0.786	0.0	9.22
407	h0	0.667	0.667	0.7	0.7	1	0.0	0.769	1	0.786	0.0	9.22
408	h0	0.842	0.947	0.8	1.0	1	0.0	0.769	1	0.765	0.0	37.53
409	h0	0.889	1.0	0.8	1.0	1	0.0	0.769	1	0.786	0.0	42.99
410	h0	0.889	1.0	0.8	1.0	1	0.0	0.769	1	0.786	0.0	42.99
411	h0	0.889	1.0	0.8	1.0	1	0.0	0.769	1	0.786	0.0	42.99
412	h0	0.842	0.655	0.9	0.7	1	0.6	0.783	1	0.765	12.49	14.57
413	h0	0.889	0.667	0.9	0.7	1	0.6	0.846	1	0.786	14.9	17.39
414	h0	0.889	0.667	0.9	0.7	1	0.6	0.846	1	0.786	14.9	17.39
415	h0	0.889	0.667	0.9	0.7	1	0.6	0.846	1	0.767	14.54	16.97
416	h0	0.462	0.737	0.58	0.686	1	0.645	0.926	1	0.671	5.43	5.43
417	h0	0.667	1.0	0.7	0.8	1	0.7	1.0	1	0.786	20.55	20.55
418	h0	0.667	1.0	0.7	0.8	1	0.7	1.0	1	0.786	20.55	20.55
419	h0	0.667	1.0	0.7	0.8	1	0.7	1.0	1	0.786	20.55	20.55
420	h0	0.947	0.947	0.665	0.857	1	0.668	0.769	1	0.786	20.64	20.64
421	h0	1.0	1.0	0.7	0.9	1	0.7	0.769	1	0.786	26.66	26.66
422	h0	1.0	1.0	0.7	0.9	1	0.7	0.769	1	0.786	26.66	26.66
423	h0	1.0	1.0	0.7	0.9	1	0.7	0.769	1	0.786	26.66	26.66
424	h0	0.737	0.632	0.95	0.857	1	0.955	0.758	1	0.786	21.58	21.58
425	h0	0.778	0.667	1.0	0.9	1	1.0	0.769	1	0.786	28.23	28.23
426	h0	0.778	0.667	1.0	0.9	1	1.0	0.769	1	0.786	28.23	28.23
427	h0	0.778	0.667	1.0	0.9	1	1.0	0.61	1	0.786	22.39	22.39
