ChipID	Half	Layer0	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	Layer7	Layer8	Peff(%)	Peff_Original(%)
344	h0	1	1	0.76	1	0.955	0.0	0.769	1	0.786	0.0	27.22
345	h0	1	1	0.8	1	1.0	0.0	0.769	1	0.786	0.0	31.45
346	h0	1	1	0.7	1	1.0	0.0	0.769	1	0.786	0.0	26.81
347	h0	1	1	0.95	1	0.668	0.0	0.769	1	0.786	0.0	30.61
348	h0	1	1	1.0	1	0.7	0.0	0.769	1	0.786	0.0	35.38
349	h0	1	1	1.0	1	0.7	0.0	0.769	1	0.786	0.0	35.38
350	h0	1	1	0.76	1	0.955	0.764	0.746	1	0.786	30.21	30.21
351	h0	1	1	0.765	1	1.0	0.8	0.769	1	0.786	36.99	36.99
352	h0	1	1	0.7	1	1.0	0.8	0.769	1	0.786	33.85	33.85
353	h0	1	1	0.76	1	0.668	0.668	0.769	1	0.857	20.76	20.76
354	h0	1	1	0.84	1	0.7	0.7	0.769	1	0.786	23.11	23.11
355	h0	1	1	0.9	1	0.673	0.691	0.769	1	0.786	23.5	23.5
392	h0	1	1	0.665	1	0.764	0.0	0.923	1	0.786	0.0	32.7
393	h0	1	1	0.7	1	0.8	0.0	0.923	1	0.786	0.0	37.74
394	h0	1	1	0.7	1	0.8	0.0	0.923	1	0.786	0.0	37.74
395	h0	1	1	0.7	1	0.8	0.0	0.923	1	0.786	0.0	37.74
396	h0	1	1	0.95	1	0.955	0.0	1.0	1	0.786	0.0	44.25
397	h0	1	1	1.0	1	1.0	0.0	1.0	1	0.786	0.0	51.11
398	h0	1	1	1.0	1	1.0	0.0	1.0	1	0.786	0.0	51.11
399	h0	1	1	1.0	1	1.0	0.0	1.0	1	0.786	0.0	51.11
400	h0	1	1	0.9	1	1.0	0.655	0.667	1	0.737	28.98	28.98
401	h0	1	1	1.0	1	1.0	0.7	0.769	1	0.786	42.31	42.31
402	h0	1	1	1.0	1	1.0	0.7	0.769	1	0.786	42.31	42.31
403	h0	1	1	1.0	1	1.0	0.7	0.769	1	0.749	37.46	37.46
404	h0	1	1	0.7	1	0.6	0.7	0.761	1	0.772	17.27	17.27
405	h0	1	1	0.7	1	0.6	0.7	0.769	1	0.786	17.77	17.77
406	h0	1	1	0.7	1	0.6	0.7	0.769	1	0.786	17.77	17.77
407	h0	1	1	0.7	1	0.6	0.7	0.769	1	0.786	17.77	17.77
408	h0	1	1	0.8	1	0.8	1.0	0.769	1	0.765	37.65	37.65
409	h0	1	1	0.8	1	0.8	1.0	0.769	1	0.786	38.68	38.68
410	h0	1	1	0.8	1	0.8	1.0	0.769	1	0.786	38.68	38.68
411	h0	1	1	0.8	1	0.8	1.0	0.769	1	0.786	38.68	38.68
412	h0	1	1	0.9	1	1.0	0.7	0.783	1	0.765	37.74	37.74
413	h0	1	1	0.9	1	1.0	0.7	0.846	1	0.786	41.89	41.89
414	h0	1	1	0.9	1	1.0	0.7	0.846	1	0.786	41.89	41.89
415	h0	1	1	0.9	1	1.0	0.7	0.846	1	0.767	40.88	40.88
416	h0	1	1	0.58	1	0.577	0.645	0.926	1	0.671	13.41	13.41
417	h0	1	1	0.7	1	0.6	0.7	1.0	1	0.786	23.11	23.11
418	h0	1	1	0.7	1	0.6	0.7	1.0	1	0.786	23.11	23.11
419	h0	1	1	0.7	1	0.6	0.7	1.0	1	0.786	23.11	23.11
420	h0	1	1	0.665	1	0.573	0.668	0.769	1	0.786	15.39	15.39
421	h0	1	1	0.7	1	0.6	0.7	0.769	1	0.786	17.77	17.77
422	h0	1	1	0.7	1	0.6	0.7	0.769	1	0.786	17.77	17.77
423	h0	1	1	0.7	1	0.6	0.7	0.769	1	0.786	17.77	17.77
424	h0	1	1	0.95	1	0.668	0.955	0.758	1	0.786	36.11	36.11
425	h0	1	1	1.0	1	0.7	1.0	0.769	1	0.786	42.31	42.31
426	h0	1	1	1.0	1	0.7	1.0	0.769	1	0.786	42.31	42.31
427	h0	1	1	1.0	1	0.7	1.0	0.61	1	0.786	33.56	33.56
448	h0	1	1	0.76	1	0.668	0.0	0.769	1	0.786	0.0	21.78
449	h0	1	1	0.8	1	0.7	0.0	0.769	1	0.786	0.0	25.16
450	h0	1	1	0.8	1	0.695	0.0	0.769	1	0.786	0.0	24.98
451	h0	1	1	0.8	1	0.605	0.0	0.769	1	0.786	0.0	21.74
452	h0	1	1	0.68	1	0.655	0.0	0.484	1	0.786	0.0	12.59
453	h0	1	1	0.575	1	0.764	0.955	0.359	1	0.62	8.67	8.67
454	h0	1	1	0.7	1	0.8	1.0	0.769	1	0.786	31.45	31.45
455	h0	1	1	0.7	1	0.8	1.0	0.769	1	0.786	31.45	31.45
456	h0	1	1	0.7	1	0.8	1.0	0.769	1	0.786	31.45	31.45
457	h0	1	1	0.61	1	0.8	1.0	0.712	1	0.758	24.47	24.47
458	h0	1	1	0.95	1	0.764	0.955	0.846	1	0.786	46.09	46.09
459	h0	1	1	1.0	1	0.8	1.0	0.846	1	0.786	53.2	53.2
460	h0	1	1	1.0	1	0.8	1.0	0.846	1	0.786	53.2	53.2
461	h0	1	1	1.0	1	0.8	1.0	0.846	1	0.786	53.2	53.2
462	h0	1	1	0.85	1	0.8	1.0	0.533	1	0.786	28.49	28.49
463	h0	1	1	0.665	1	0.955	0.668	0.769	1	0.786	25.64	25.64
464	h0	1	1	0.7	1	1.0	0.7	0.769	1	0.786	29.62	29.62
465	h0	1	1	0.7	1	1.0	0.7	0.769	1	0.786	29.62	29.62
466	h0	1	1	0.7	1	1.0	0.7	0.769	1	0.786	29.62	29.62
467	h0	1	1	0.595	1	1.0	0.7	0.484	1	0.721	14.53	14.53
812	h1	1	1	0.76	1	0.909	0.668	0.769	1	0.76	24.25	24.25
813	h1	1	1	0.8	1	1.0	0.7	0.769	1	0.786	31.45	31.45
814	h1	1	1	0.8	1	1.0	0.686	0.769	1	0.786	30.82	30.82
815	h1	1	1	0.95	1	0.636	0.859	0.766	1	0.76	27.16	27.16
816	h1	1	1	1.0	1	0.7	0.9	0.769	1	0.786	35.38	35.38
817	h1	1	1	1.0	1	0.7	0.9	0.769	1	0.786	35.38	35.38
818	h1	1	1	0.665	1	0.909	0.764	0.749	1	0.76	23.63	23.63
819	h1	1	1	0.7	1	1.0	0.8	0.769	1	0.786	33.85	33.85
820	h1	1	1	0.7	1	1.0	0.8	0.769	1	0.786	33.85	33.85
821	h1	1	1	0.76	1	0.636	0.668	0.769	1	0.76	17.53	17.53
822	h1	1	1	0.8	1	0.7	0.7	0.769	1	0.786	22.01	22.01
823	h1	1	1	0.8	1	0.7	0.691	0.769	1	0.786	21.73	21.73
