Configurations	Weights(%)
0.1.2.6.8	-5.55
0.1.2.6.9	-5.96
0.1.2.7.8	0.0
0.1.2.7.9	0.0
0.1.3.6.8	-5.8
0.1.3.6.9	-5.94
0.1.3.7.8	0.0
0.1.3.7.9	0.0
0.1.4.6.8	-5.46
0.1.4.6.9	-5.86
0.1.4.7.8	0.0
0.1.4.7.9	0.0
0.1.5.6.8	-5.91
0.1.5.6.9	-5.79
0.1.5.7.8	0.0
0.1.5.7.9	0.0
0.2.3.6.8	-5.58
0.2.3.6.9	-6.27
0.2.3.7.8	0.0
0.2.3.7.9	0.0
0.2.4.6.7	-6.53
0.2.4.6.8	-5.61
0.2.4.6.9	-6.4
0.2.4.7.8	0.0
0.2.4.7.9	0.0
0.2.4.8.9	0.0
0.2.5.6.7	-6.4
0.2.5.6.8	-5.76
0.2.5.6.9	-6.21
0.2.5.7.8	0.0
0.2.5.7.9	0.0
0.2.5.8.9	0.0
0.2.6.7.8	-5.2
0.2.6.7.9	-6.04
0.2.6.8.9	-6.0
0.2.7.8.9	0.0
0.3.4.6.7	-6.12
0.3.4.6.8	-5.35
0.3.4.6.9	-6.11
0.3.4.7.8	0.0
0.3.4.7.9	0.0
0.3.4.8.9	0.0
0.3.5.6.7	-6.09
0.3.5.6.8	-5.89
0.3.5.6.9	-6.08
0.3.5.7.8	0.0
0.3.5.7.9	0.0
0.3.5.8.9	0.0
0.3.6.7.8	-5.28
0.3.6.7.9	-5.88
0.3.6.8.9	-5.86
0.3.7.8.9	0.0
0.4.5.6.8	-5.67
0.4.5.6.9	-6.09
0.4.5.7.8	0.0
0.4.5.7.9	0.0
0.4.6.7.8	-5.14
0.4.6.7.9	-6.08
0.4.6.8.9	-6.02
0.4.7.8.9	0.0
0.5.6.7.8	-5.39
0.5.6.7.9	-5.74
0.5.6.8.9	-5.78
0.5.7.8.9	0.0
1.2.3.6.8	-5.48
1.2.3.6.9	-5.87
1.2.3.7.8	0.0
1.2.3.7.9	0.0
1.2.4.6.7	-5.65
1.2.4.6.8	-5.37
1.2.4.6.9	-5.83
1.2.4.7.8	0.0
1.2.4.7.9	0.0
1.2.4.8.9	0.0
1.2.5.6.7	-5.55
1.2.5.6.8	-5.62
1.2.5.6.9	-5.73
1.2.5.7.8	0.0
1.2.5.7.9	0.0
1.2.5.8.9	0.0
1.2.6.7.8	-5.09
1.2.6.7.9	-5.67
1.2.6.8.9	-5.64
1.2.7.8.9	0.0
1.3.4.6.7	-5.52
1.3.4.6.8	-5.35
1.3.4.6.9	-5.71
1.3.4.7.8	0.0
1.3.4.7.9	0.0
1.3.4.8.9	0.0
1.3.5.6.7	-5.48
1.3.5.6.8	-6.0
1.3.5.6.9	-5.75
1.3.5.7.8	0.0
1.3.5.7.9	0.0
1.3.5.8.9	0.0
1.3.6.7.8	-5.36
1.3.6.7.9	-5.69
1.3.6.8.9	-5.68
1.3.7.8.9	0.0
1.4.5.6.8	-5.62
1.4.5.6.9	-5.63
1.4.5.7.8	0.0
1.4.5.7.9	0.0
1.4.6.7.8	-5.13
1.4.6.7.9	-5.69
1.4.6.8.9	-5.65
1.4.7.8.9	0.0
1.5.6.7.8	-5.46
1.5.6.7.9	-5.47
1.5.6.8.9	-5.51
1.5.7.8.9	0.0
2.3.4.6.8	-5.28
2.3.4.6.9	-6.1
2.3.4.7.8	0.0
2.3.4.7.9	0.0
2.3.5.6.8	-5.61
2.3.5.6.9	-6.03
2.3.5.7.8	0.0
2.3.5.7.9	0.0
2.4.5.6.8	-5.62
2.4.5.6.9	-6.08
2.4.5.7.8	0.0
2.4.5.7.9	0.0
2.4.6.7.8	-5.15
2.4.6.7.9	-6.12
2.4.6.8.9	-6.03
2.4.7.8.9	0.0
2.5.6.7.8	-5.23
2.5.6.7.9	-5.74
2.5.6.8.9	-5.74
2.5.7.8.9	0.0
3.4.5.6.8	-5.46
3.4.5.6.9	-5.86
3.4.5.7.8	0.0
3.4.5.7.9	0.0
3.4.6.7.8	-4.99
3.4.6.7.9	-5.86
3.4.6.8.9	-5.79
3.4.7.8.9	0.0
3.5.6.7.8	-5.41
3.5.6.7.9	-5.65
3.5.6.8.9	-5.66
3.5.7.8.9	0.0
