Printing MFT chip positions from geometry file: 
 ChipID 0 : h0-d0 layer0 z0-tr5  Position: x=-8.78, y=-1.69, z=-45.31 
 ChipID 1 : h0-d0 layer0 z0-tr6  Position: x=-8.78, y=-4.70, z=-45.32 
 ChipID 2 : h0-d0 layer0 z3-tr0  Position: x=8.20, y=-1.70, z=-45.29 
 ChipID 3 : h0-d0 layer0 z3-tr1  Position: x=8.24, y=-4.71, z=-45.34 
 ChipID 4 : h0-d0 layer0 z3-tr17  Position: x=9.94, y=-1.69, z=-45.34 
 ChipID 5 : h0-d0 layer0 z3-tr16  Position: x=9.94, y=-4.71, z=-45.36 
 ChipID 6 : h0-d0 layer1 z3-tr17  Position: x=-9.96, y=-1.68, z=-46.78 
 ChipID 7 : h0-d0 layer1 z3-tr16  Position: x=-9.95, y=-4.70, z=-46.76 
 ChipID 8 : h0-d0 layer1 z3-tr0  Position: x=-8.20, y=-1.70, z=-46.71 
 ChipID 9 : h0-d0 layer1 z3-tr1  Position: x=-8.23, y=-4.70, z=-46.75 
 ChipID 10 : h0-d0 layer1 z0-tr5  Position: x=8.79, y=-1.69, z=-46.77 
 ChipID 11 : h0-d0 layer1 z0-tr6  Position: x=8.79, y=-4.70, z=-46.77 
 ChipID 12 : h0-d0 layer0 z0-tr0  Position: x=-7.06, y=-1.68, z=-45.31 
 ChipID 13 : h0-d0 layer0 z0-tr1  Position: x=-7.07, y=-4.70, z=-45.34 
 ChipID 14 : h0-d0 layer0 z0-tr2  Position: x=-7.07, y=-7.72, z=-45.35 
 ChipID 15 : h0-d0 layer0 z0-tr17  Position: x=-5.36, y=-1.68, z=-45.31 
 ChipID 16 : h0-d0 layer0 z0-tr16  Position: x=-5.37, y=-4.69, z=-45.34 
 ChipID 17 : h0-d0 layer0 z0-tr15  Position: x=-5.37, y=-7.71, z=-45.34 
 ChipID 18 : h0-d0 layer0 z1-tr5  Position: x=-3.67, y=-1.68, z=-45.32 
 ChipID 19 : h0-d0 layer0 z1-tr6  Position: x=-3.67, y=-4.69, z=-45.34 
 ChipID 20 : h0-d0 layer0 z1-tr7  Position: x=-3.67, y=-7.71, z=-45.33 
 ChipID 21 : h0-d0 layer0 z1-tr0  Position: x=-1.96, y=-3.52, z=-45.32 
 ChipID 22 : h0-d0 layer0 z1-tr1  Position: x=-1.96, y=-6.54, z=-45.34 
 ChipID 23 : h0-d0 layer0 z1-tr2  Position: x=-1.97, y=-9.56, z=-45.36 
 ChipID 24 : h0-d0 layer0 z1-tr17  Position: x=-0.26, y=-3.78, z=-45.33 
 ChipID 25 : h0-d0 layer0 z1-tr16  Position: x=-0.27, y=-6.80, z=-45.36 
 ChipID 26 : h0-d0 layer0 z1-tr15  Position: x=-0.27, y=-9.82, z=-45.39 
 ChipID 27 : h0-d0 layer0 z2-tr5  Position: x=1.42, y=-3.69, z=-45.32 
 ChipID 28 : h0-d0 layer0 z2-tr6  Position: x=1.43, y=-6.70, z=-45.35 
 ChipID 29 : h0-d0 layer0 z2-tr7  Position: x=1.43, y=-9.72, z=-45.36 
 ChipID 30 : h0-d0 layer0 z2-tr0  Position: x=3.14, y=-1.69, z=-45.35 
 ChipID 31 : h0-d0 layer0 z2-tr1  Position: x=3.13, y=-4.70, z=-45.34 
 ChipID 32 : h0-d0 layer0 z2-tr2  Position: x=3.13, y=-7.72, z=-45.35 
 ChipID 33 : h0-d0 layer0 z2-tr17  Position: x=4.84, y=-1.69, z=-45.35 
 ChipID 34 : h0-d0 layer0 z2-tr16  Position: x=4.84, y=-4.70, z=-45.34 
 ChipID 35 : h0-d0 layer0 z2-tr15  Position: x=4.84, y=-7.71, z=-45.35 
 ChipID 36 : h0-d0 layer0 z3-tr5  Position: x=6.54, y=-1.69, z=-45.35 
 ChipID 37 : h0-d0 layer0 z3-tr6  Position: x=6.54, y=-4.70, z=-45.34 
 ChipID 38 : h0-d0 layer0 z3-tr7  Position: x=6.53, y=-7.72, z=-45.34 
 ChipID 39 : h0-d0 layer1 z3-tr5  Position: x=-6.54, y=-1.68, z=-46.72 
 ChipID 40 : h0-d0 layer1 z3-tr6  Position: x=-6.54, y=-4.70, z=-46.75 
 ChipID 41 : h0-d0 layer1 z3-tr7  Position: x=-6.53, y=-7.72, z=-46.77 
 ChipID 42 : h0-d0 layer1 z2-tr17  Position: x=-4.85, y=-1.68, z=-46.75 
 ChipID 43 : h0-d0 layer1 z2-tr16  Position: x=-4.84, y=-4.70, z=-46.76 
 ChipID 44 : h0-d0 layer1 z2-tr15  Position: x=-4.83, y=-7.71, z=-46.79 
 ChipID 45 : h0-d0 layer1 z2-tr0  Position: x=-3.15, y=-1.68, z=-46.72 
